"lic","instituciones","direccion_fisica","pueblo_fisico","zip_code_fisico","direccion_postal","pueblo_postal","zip_code_postal","telefono_primario","telefono_secundario","email_primario","email_secundario","fax_primario","fax_secundario","director_preescolar","director_elemental","director_intermedia","director_superior","matricula_preprekinder","matricula_prekinder","matricula_kinder","matricula_sin_grado_preescolar","matricula_primero","matricula_segundo","matricula_tercero","matricula_cuarto","matricula_quinto","matricula_sexto","matricula_sin_grado_elemental","matricula_septimo","matricula_octavo","matricula_noveno","matricula_decimo","matricula_undecimo","matricula_duodecimo","matricula_sin_grado_secundaria","total"
"A 50-15","Educational Services Corpus Christi","Carr 467, Km. 2.2, Barrio Camaseyes, Sect El Cuco","Aguadilla","00603","Apartado 4021","Aguadilla","00605","(787) 882-8433","(787) 882-8433","colegiocorpuschristi@yahoo.com",,"(787) 882-3947","(787) 882-3947","Esmeralda Pérez","Esmeralda Pérez","Esmeralda Pérez","Esmeralda Pérez","0","12","10","0","7","9","13","18","16","12","0","28","16","26","18","20","19","0","224"
"A 50-16","CE Preparatory Institute","Carr # 459, km 7.7 Interior, Bo Ceiba Alta, Sect San Antonio","Aguadilla","00690","PO BOX 142, San Antonio","Aguadilla","00690","(787) 890-1121","(787) 890-1059","s.vega.t@gmail.com","minervav58@yahoo.com","(787) 890-1059",,"Sandra Vega Torres","Sandra Vega Torres","Sandra Vega Torres","Sandra Vega Torres","7","7","8","0","13","7","12","11","9","5","0","8","0","0","0","0","0","0","87"
"A 50-19","Borinquen Bilingual School & Sport Development Center, Inc.","Carr Número 467, Km. 2.0, Barrio Borinquen","Aguadilla","00603","PO BOX 4044","Aguadilla","00605","(787) 882-8008","(787) 882-8008","bbsoffice@gmail.com",,"(787) 882-8008",,"Leida Soto Pérez","Victor A. Velez","Sylvia Soto Pérez",,"0","52","63","0","58","62","66","60","53","63","0","29","0","0","0","0","0","0","506"
"A 50-23","Charlie's Guard Detective Bureau and Academy (Charlie's Academy)","Carr 107 Km 3.1, Bo Borinquen (Oficina Administrativa y Salones de Clases)","Aguadilla","00605","PO BOX 3087","Aguadilla","00605","(787) 882-7222","(787) 882-7222","dediego@coqui.net","cacademy@coqui.net","(787) 819-0829","(787) 882-7222","Leocadio Nieves Feliciano","Leocadio Nieves Feliciano","Leocadio Nieves Feliciano","Leocadio Nieves Feliciano","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A 50-24","Universal Technology College of Puerto Rico (UNITEC)","Calle Comercio #111, Barrio Pueblo","Aguadilla","00605","PO BOX 1955, Victoria Station","Aguadilla","00605","(787) 882-2065","(787) 882-2063","administracion_empresas@unitecpr.net","directora_planificacion@unitecpr.net","(787) 891-2370","(787) 882-0595","NO APLICA","NO APLICA","NO APLICA","Sandra González","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","11","24","4","55"
"A 50-25","Suresa International School, Inc.","Carr #110, Km. 4.5 Interior, Barrio Aguacate","Aguadilla","00603","PMB 315 PO BOX 60401","San Antonio","00690","(787) 530-3529","(787) 697-8964","csuresa@hotmail.com","vimavado@gmail.com","(787) 697-8964","(787) 530-3529","Sra. Theresa Calderon Noriega","Sra. Theresa Calderon Noriega","Sra. Theresa Calderon Noriega","Sra. Theresa Calderon Noriega","0","5","9","0","11","10","13","11","12","22","0","20","15","22","33","21","42","3","249"
"A 50-26","John F. Kennedy Elementary School","carr 111 Bo palmar km 3.2","Aguadilla","00603","PO BOX 5214","Aguadilla","00605","(787) 877-0100","(787) 645-9762","little.schooler@yahoo.com","o.lff@hotmail.com","(787) 877-0100","(787) 645-9762","Anelisa Sonera","Anelisa Sonera","n/a","n/a","0","9","12","0","15","20","16","17","16","9","0","0","0","0","0","0","0","0","114"
"A 50-28","Ramey Job Corp","Calle Belt Edificio 760","Aguadilla","00603","PO BOX 250463","Aguadilla","00603","(787) 890-2030","(787) 890-6507","cd.ramey@jobcorps.org","perez.joann@jobcorps.org","(787) 890-4749","(787) 890-7054","n/a","n/a","n/a","Osvaldo Ubiñas","0","0","0","0","0","0","0","0","0","0","0","0","0","20","12","27","14","0","73"
"A 50-29","Escuela Elemental y Superior Antolina Vélez","Bo Caimital Bajo, Carr #443, KM 0.1","Aguadilla","00605","PO BOX 20000","Aguadilla","00605","(787) 882-8550","(787) 891-0925","escuela@aguadilla.inter.edu","lmlara@aguadilla.inter.edu","(787) 882-8551","(787) 891-0925","Liza M. Lara Soto","Liza M. Lara Soto","Liza M. Lara Soto","Liza M. Lara Soto","0","11","16","0","17","21","10","20","17","16","0","27","20","25","29","15","23","0","267"
"A 50-30","Educativo Técnico Ocupacional de Aguadilla","Ave Ing Alarcon Esquina Arch #605, #609 Bo Maleza Baja","Aguadilla","00604","PO BOX 250071","Aguadilla","00604","(787) 890-2731","(787) 890-2731","tvalentin@trabajo.pr.gov",,"(787) 890-2731",,"n/d","n/d","n/d","Teresa Valentin Rodríguez","0","0","0","0","0","0","0","0","0","0","0","0","0","8","6","5","12","7","38"
"A 50-31","Kids Paradise Bilingual School, Inc.","Carr 468 Int. 110 Bo Aguacate","Aguadilla","00603","8 Sector Nieves Carretera 459 Bo Jobos","Aguadilla","00662","(787) 607-4631","(787) 607-4630","kidsparadiseinc@hotmail.com",,"(787) 607-4631",,"Johnny Nieves Vargas","Johnny Nieves Vargas","n/a","n/a","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"A 50-32","Ferrer Bilingual School and Learning Center","Carr #2 Km 121.6 Bo Caimital Alto","Aguadilla","00605","PO BOX 4075","Aguadilla","00605","(787) 367-8849","(787) 367-8849","evilyferrer06@gmail.com","Ferrerbilingual@gmail.com","(787) 367-8849",,"Sra. Theresa Calderon Noriega","Sra. Theresa Calderon Noriega","n/a","n/a","0","3","2","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","20"
"A 51-02","Escuela Católica De La Salle","Bo Carreras, Carr Estatal 405, Km. 2.4, Interior","Añasco","00610","PO BOX 61","Añasco","00610","(787) 826-6071","(787) 826-4355","delasalle_89@yahoo.com","antm1961@gmail.com","(787) 826-5185",,"Emma I. Mayens Rodriguez","Emma I. Mayens Rodriguez","Emma I. Mayens Rodriguez","Emma I. Mayens Rodriguez","0","5","8","0","8","10","14","8","15","11","0","15","13","15","16","11","18","0","167"
"A 51-04","Colegio Cristiano Oscar Correa Agosto","Carr 109, Km. 2.4, Barrio Añasco Arriba (Pozo Hondo)","Añasco","00610","PO BOX 1515","Añasco","00610","(787) 826-0355","(787) 826-0355","rosayunes@gmail.com","profdorcamorelCCOCA@gmail.com","(787) 826-0355","(787) 826-0355","Dorca I Morel Germosen","Dorca I Morel Germosen","Dorca I Morel Germosen","Dorca I Morel Germosen","0","7","10","0","6","12","10","8","20","18","0","20","16","21","9","17","6","0","180"
"A 51-06","Escuela Hamdelyn","Carr 404, Km 0.9, Bo Dagüey","Añasco","00610","PO BOX 582","Añasco","00610","(787) 649-2330","(787) 649-2330","hamdelyn@yahoo.com",,"(188) 897-9515","(787) 649-2330","Domitila Muñiz Mendoza","no","no","no","0","12","9","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","26"
"A 51-07","Centro de Cuidado Diurno Habacuc, Inc.","Carr 109, Km. 1.9, Barrio Añasco Arriba (Pozo Hondo)","Añasco","00610","PO BOX 172","Añasco","00610","(787) 826-2326","(787) 598-3390","lillycruzado@hotmail.com",,"(787) 826-2326","(787) 826-2326","Prof. Lydia Del Valle","Prof. Lydia Del Valle","Prof. Lydia Del Valle","Prof. Lydia Del Valle","10","20","20","5","20","13","26","12","16","8","0","7","0","0","0","0","0","0","157"
"A 51-08","Valeriana Bilingual School","Carr 402. Km. 4.9, Barrio Piñales Abajo","Añasco","00610","RR 1 Buzón 2455","Añasco","00610","(787) 826-4016","(938) 642-2058","kmbudaycare@hotmail.com","valerianaschool@gmail.com","(787) 826-4016","(787) 826-4016","Jeniffer Luciano Rodriguez","Jenffer Luciano Rodriguez","N/A","N/A","16","0","0","0","1","3","6","3","2","0","0","0","0","0","0","0","0","0","31"
"A 51-09","MAS Integrated School MASIS, Inc.","Barrio Caracol #2, Km. 143.0","Añasco","00610","4524 Biancas Convention Center Suite 5","Añasco","00610","(787) 826-8822","(787) 826-8022","masinfo@masispr.org","maviles@masispr.org","(787) 826-8026","(787) 826-8822","Miriam Avilés Soto","Miriam Avilés Soto","Miriam Avilés Soto","Miriam Avilés Soto","0","20","20","0","30","22","24","37","22","31","0","23","24","27","20","20","20","0","340"
"A 52-01","Colegio San Agustín","Urb Margarita, Número 2, Calle Baldorioty","Cabo Rojo","00623","PO BOX 926","Cabo Rojo","00623","(787) 851-1950","(787) 851-1950","colegiosanagustin@hotmail.com",,"(787) 255-2757",,"Raymond Pérez Medina / Hna. Raquel Alvarenga","Raymond Pérez Medina / Hna. Raquel Alvarenga","Raymond Pérez Medina / Hna. Raquel Alvarenga","Raymond Pérez Medina / Hna. Raquel Alvarenga","2","5","7","0","17","14","15","22","31","44","0","34","52","44","41","43","46","1","418"
"A 52-03","Cabo Rojo Christian Academy","Bo Pedernales, Intercesión Carr #100 y #103, Km. 9.0, Interior","Cabo Rojo","00623","PO BOX 754","Cabo Rojo","00623","(787) 255-4205","(787) 255-0714","crca@ccrpr.org","info@ccrpr.org","(787) 254-7776",,"Sr. Obed A. Santiago de León","Sr. Obed A. Santiago de León","Sr. Obed A. Santiago de León","Sr. Obed A. Santiago de León","4","6","9","0","6","6","5","9","6","12","0","6","8","4","4","9","10","0","104"
"A 52-04","Inspiration Christian Academy, Inc.","Carr 3311, Km. 1.2 Interior, Barrio Bajura, Sect Sabana Alta","Cabo Rojo","00623","PMB 103 PO BOX 5103","Cabo Rojo","00623","(787) 255-6868","(787) 951-5685","torresanabelica@yahoo.com",,"(787) 255-6868","(787) 255-6868","Anabel Torres Matos","Anabel Torres Matos","Anabel Torres Matos","Anabel Torres Matos","9","17","24","0","31","25","24","18","22","21","0","21","21","12","17","11","6","0","279"
"A 52-05","Centro de Desarrollo Integral Mafalda","Calle Ext. Carbonell # 15, Km. 5.5 Sect La Charca","Cabo Rojo","00623","Calle Extensión Carbonell #15","Cabo Rojo","00623","(787) 255-1744","(787) 605-0618","soniasorrentini@yahoo.com","acevedo_rivera@yahoo.es","(787) 255-1744","(787) 605-0618","Sonia I. Sorrentini Mercado","N/A","N/A","N/A","0","13","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"A 53-02","Colegio La Monserrate, Inc.","Bo Jagüitas, Carr #346, Km. 1.0","Hormigueros","00660","PO BOX 1314","Hormigueros","00660","(787) 849-1355","(787) 849-1355","monserrate1980@gmail.com",,"(787) 849-1355","(787) 849-1355","Mildred E. Ortiz Feliciano","Mildred E. Ortiz Feliciano","Gilmarie Santiago","Gilmarie Santiago","15","8","14","0","6","17","9","8","5","2","0","9","8","9","7","5","11","0","133"
"A 53-04","For Kid's Only, Inc.","Calle Comercio #2","Hormigueros","00660","Urb Verdum, Carretera Núm. 345, Buzón 16","Hormigueros","00660","(787) 849-4808","(787) 316-6780","alicem@coqui.net",,"(787) 849-4808",,"Margarita López Drohin","Margarita López Drohin","No aplica","No aplica","15","16","12","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","59"
"A 53-05","Kabod Christian Academy","Reparto San José, Calle 4C, Barrio Lavadero Sur","Hormigueros","00660","PO BOX 1332","Hormigueros","00660","(787) 849-4928","(787) 342-9418","kabodchristian2010@gmail.com","varc2012@gmail.com","(787) 849-4928",,"ninguno","Vivian Ruiz","Vivian Ruiz","Vivian Ruiz","0","0","0","0","2","2","4","2","6","8","0","3","5","3","3","1","1","0","40"
"A 54-02","Academia San Luis Pre-Escolar, Elemental y Secundaria","Carr 117, Km. 0.2, Bo Santa Rosa","Lajas","00667","PO BOX 420","Lajas","00667","(787) 899-4080","(939) 397-3925","academiasanluis@yahoo.com","stalicea@yahoo.com","(787) 000-0000","(787) 000-0000","Sister Teresita Alicea, CSJ","Sister Teresita Alicea, CSJ","Sister Teresita Alicea, CSJ","Sister Teresita Alicea, CSJ","0","3","5","0","0","6","5","2","0","3","0","5","7","4","2","3","2","0","47"
"A 57-02","W.A.L.K.S./W.E.B.S., WESTERN EAGLE'S BILINGUAL SCHOOL, Pre-K to 12th Grade, Inc.","Carr #104, Km. 1.9 Interior, Reparto San Francisco, Barrio Algarrobo","Mayagüez","00682","Reparto San Francisco # 5, Calle Eugenio B. Cesaní Nieto","Mayagüez","00682","(787) 832-7083","(787) 805-7315","info@walkswebspr.com","registraduria@walkswebspr.com","(787) 832-3425",,"Linda J. Román Pratts","Linda J. Román Pratts","Linda J. Román Pratts","Linda J. Román Pratts","0","16","23","0","32","33","44","21","32","21","0","39","23","15","15","12","9","0","335"
"A 57-03","Colegio De La Milagrosa","Calle Dr. Ramón Emeterio Betances # 8 Norte","Mayagüez","00680","Calle Dr. Ramón Emeterio Betances # 8 Norte","Mayagüez","00680","(787) 834-0345","(787) 834-0350","clm.mayaguez@yahoo.com",,"(787) 834-0350",,"Prof. Delma Morales","Prof. Delma Morales","Prof. Delma Morales","Prof. Delma Morales","0","7","12","0","11","14","16","21","20","24","0","27","36","27","26","32","31","0","304"
"A 57-04","Academia Adventista del Oeste","Carr 342, Km. 0.3, Barrio Algarrobo, Sect Cuba Número 1060 y Carr #2, Km. 149.3 Interior, Sect Cuba","Mayagüez","00680","PO BOX 1629","Mayagüez","00680","(787) 833-4340","(787) 225-8312","aaosup@gmail.com","awi71charne@hotmail.com","(787) 265-4711",") -","Awilda Charneco","Awilda Charneco","Awilda Charneco","Awilda Charneco","0","7","21","0","22","26","26","22","25","33","0","23","24","25","31","24","31","0","340"
"A 57-06","Colegio San Benito","Carr 348, Km.0.2, Quebrada Grande","Mayagüez","00680","1982 Carr. 348","Mayagüez","00680","(787) 832-9626","(787) 834-1140","sanbenitomayaguez@yahoo.com",,"(787) 834-1140",,"Ivette Rodriguez Rivera","Ivette Rodriguez Rivera","Ivette Rodriguez Rivera","Nadhia Lugo Castillo","0","0","14","0","19","14","18","10","18","28","0","31","24","26","31","41","50","0","324"
"A 57-07","Bella Vista Adventist Academy","Barrio Cerro Las Mesas, Carr #349, Km. 3.0, #674","Mayagüez","00680","Carretera #349 Km 3.0 #674","Mayagüez","00680","(787) 833-8373","(787) 834-6071","aabellavista@gmail.com",,"(787) 833-8321",,"Sylvia Nanette Rivera","Sylvia Nanette Rivera","Sylvia Nanette Rivera","Sylvia Nanette Rivera","0","0","18","0","16","14","11","12","20","20","0","20","16","13","16","21","20","0","217"
"A 57-09","Centro de Desarrollo y Servicios Especializados Inc., (Centro ESPIBI)","Bo Cerro Las Mesas, Carr 349, Km. 3.1","Mayagüez","00681","PO BOX 216","Mayagüez","00681","(787) 834-7991","(778) 783-4791","liznellpadilla.centroespibi@yahoo.com","liznellpadilla.centroespibi@yahoo.com","(787) 834-5451",,"Liznell Padilla","Liznell Padilla","N/A","N/A","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"A 57-10","Colegio Episcopal San Andrés","Calle Santiago R. Palmer # 156 Este","Mayagüez","00680","PO BOX 180","Mayagüez","00681","(787) 833-9646","(787) 833-9646","c_ossorio@yahoo.com","colegioepiscopal.2010@gmail.com","(787) 265-5620",,"Carmen N. Ossorio Sánchez","Carmen N. Ossorio Sánchez","Carmen N. Ossorio Sánchez","Carmen N. Ossorio Sánchez","0","0","13","0","7","8","17","15","12","21","0","12","16","12","14","11","19","0","177"
"A 57-11","Southwestern Eduactional Society (SESO)","Bo Sabanetas, Sect Cuba, Camino Pitillo, Carr 108, Km. 3.2","Mayagüez","00681","PO BOX 40","Mayagüez","00681","(787) 834-2150","(787) 834-4122","info@sesolion.com","wtorres@sesolion.com","(787) 265-2500",,"Wanda Ayala de Torres","Wanda Ayala de Torres","Wanda Ayala de Torres","Wanda Ayala de Torres","0","32","31","0","30","34","31","38","40","24","0","34","57","29","26","38","40","0","484"
"A 57-15","Colegio Cristiano Oscar Correa Agosto","Ave Hiram D. Cabassa # 34 Mayaguez","Mayagüez","00680","PO BOX 3420, Marina Station","Mayagüez","00681","(787) 265-4433","(787) 265-4433","coscorm@gmail.com","jeannettemc@gmail.com","(787) 265-4433","(787) 265-4433","Jeannette Milán","Jeannette Milán","Jeannette Milán","Jeannette Milán","0","6","3","0","6","11","2","7","6","4","0","5","4","5","2","4","3","0","68"
"A 57-17","Academia de la Inmaculada Concepción","850 Carr 108 Km. 2.0 Bo Miradero","Mayagüez","00680","PO BOX 1749","Mayagüez","00681","(787) 834-7824","(787) 834-5400","rtorres@inmaculadapr.com","ivelez@inmaculadapr.com","(787) 832-9494","(787) 834-3361","Irelly Vélez Ramírez","Irelly Vélez Ramírez","René Torres Sánchez","René Torres Sánchez","0","19","27","0","27","26","41","32","51","45","0","67","48","73","76","86","94","0","712"
"A 57-21","Casita Montessori de Mayaguez,Inc.","Carr #349, Km. 5.3 Interior, Sect Los Muñiz (Cerro Las Mesas)","Mayagüez","00680","PO BOX 414","Mayaguez","00681","(787) 832-6368","(787) 832-6368","casita.montessori@gmail.com","emilie.victoria.viqueira@gmail.com","(787) 832-6368","(787) 832-6368","Emilie Viqueira Keller","Emilie Viqueira Keller","Emilie Viqueira Keller","Emilie Viqueira Keller","20","6","12","0","5","6","2","6","6","3","0","5","5","3","1","1","2","0","83"
"A 57-23","Cinderella Nursery Day Care Center and Pre-School","Calle Los Ingenieros #464 y #401, Barrio Algarrobo","Mayagüez","00680","Calle Coquí #720, Miradero Gaderns","Mayagüez","00682","(787) 834-3770","(787) 834-3770","cinderellanursery@prtc.net","nelsonquintana659@yahoo.com","(787) 834-3770",,"Nelson Félix Quintana Matos","no aplica","no aplica","no aplica","84","12","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","108"
"A 57-24","Mayaguez Academy & Learning Center, Learn Language Center Corp.","3095 Calle Nelson Colón Edif. 76 Parque Industrial Guanajibo","Mayagüez","00680","250 Oeste Calle de la Candelaria , Suite B","Mayagüez","00680","(787) 374-7122","(787) 519-2558","mayaguez.academy@gmail.com","academico.ma@gmail.com","(787) 374-7122",,"Jose R. Morales Rivera","Jose R. Morales Rivera","Jose R. Morales Rivera","Jose R. Morales Rivera","0","8","14","0","15","14","5","14","17","14","0","16","17","18","13","18","18","0","201"
"A 57-26","Puerto Rico Advancement College Oeste, Inc.","Méndez Vigo #200, Esq. Calle Oriente","Mayagüez","00680","RR 8, PMB 506 BOX 1995","Bayamon","00956","(787) 831-0064","(787) 354-6042","shadiff@gmail.com","praci.oeste@yahoo.com","(787) 543-9818","(866) 543-9818","n/a","n/a","shadiff repullo casiano","shadiff repullo casiano","0","0","0","0","0","0","0","0","0","0","0","2","4","7","6","12","12","0","43"
"A 58-02","Colegio Nuestra Señora de la Monserrate","Calle Blanca E. Chico # 201","Moca","00676","PO BOX 435","Moca","00676","(787) 877-5444","(787) 877-2765","colegiolamonserratemoca@yahoo.com","lizievlez@gmail.com","(787) 877-7795","(787) 877-2765","Jorge L. Caro Morales","Jorge L. Caro Morales","Jorge L. Caro Morales",,"0","9","11","0","18","18","18","16","14","19","0","4","5","0","0","0","0","0","132"
"A 58-03","Colegio Mocano","Carr #443, Km. 6.1, Barrio Palmar (dos estructura)","Aguadilla","00603","Urb La Monserrate, Calle del Pilar #439","Moca","00676","(787) 877-1034","(787) 590-5517","colegiomocano@gmail.com","olben.delgado1@upr.edu","(787) 551-7037",,"Olben Delgado Méndez","Olben Delgado Méndez","Olben Delgado Mendez",,"0","16","25","0","27","23","24","16","8","22","0","0","0","0","0","0","0","0","161"
"A 58-05","John Broadus School","Carr 111, Km 7.3, Ramal 125,  BoVoladoras","Moca","00676","HC 05 BOX 11024","Moca","00676","(787) 818-2455","(787) 818-2456","sotogh@gmail.com","jbwteachers@gmail.com","(787) 818-2455","(787) 818-2455","Hilda Soto, Directora Administrativa","Hilda Soto, Directora Administrativa","Luz M. Soto","Luz M. Soto","0","26","30","0","30","46","32","47","33","29","0","33","47","22","0","0","0","0","375"
"A 58-09","Little Paradise School and Day Care","Carr # 111, Km. 6.3. Bo Pueblo","Moca","00676","PO BOX 324","Moca","00676","(787) 818-0000","(787) 877-3411","littleparadiseschool@hotmail.com",,"(787) 818-0000","(787) 818-0000","Gilberto Gonzalez","Gilberto Gonzalez","no aplica",,"0","22","15","0","17","11","9","5","4","0","0","0","0","0","0","0","0","0","83"
"A 58-11","Colegio de Aprendizaje y Desarrollo Educativo Integrado, Corp. (CADEI)","Carr 111 km 7.1","Moca","00676","PO BOX 578","Moca","00676","(787) 396-7303","(787) 877-3696","cadeicorp@yahoo.com","drcavale@yahoo.com","(787) 877-3696",,"Sylvia Guzman Perez","Sylvia Guzman Perez","Sylvia Guzman Perez","Sylvia Guzman Perez","0","3","1","4","3","1","2","6","3","5","0","2","4","0","1","5","1","0","41"
"A 58-12","Centro de Desarrollo Educativo y Deportivo (Centro DEDI)","Calle Ernesto Caban Esquina Carr 110","Moca","00676","PO BOX 1810","Moca","00676","(787) 818-3450","(787) 818-0989","dedimaster@hotmail.com","anayadjun@gmail.com","(787) 818-3450",,"Efrain Valentín Pérez","Efrain Valentín Pérez","n/a","n/a","0","0","1","0","8","3","6","5","8","4","0","7","1","0","1","0","0","0","44"
"A 59-02","Colegio Pre-Escolar El Rinconcito Infantil","Carr 115, Km. 14.2, Barrio Ensenada","Rincón","00677","PO BOX 1459","Rincon","00677","(787) 648-6803","(939) 642-3656","sherlybelis01@yahoo.com",,"(787) 648-6803","(787) 648-6803","Carlos L. Garcia","Carlos L. Garcia","Carlos L.Garcia",,"5","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"A 59-03","Rincón Christian Academy","Carr 115 Bo Pueblo","Rincón","00677","BOX 780","Rincón","00677","(787) 362-0004","(787) 362-0005","yanyfeliciano@yahoo.com","wilkins_gonzalez@yahoo.com","(787) 823-5959",,"Alma Feliciano Santana","Alma Feliciano Santana","Alma Feliciano Santana","Alma Feliciano Santana","0","15","13","0","11","6","11","5","10","6","0","0","4","5","1","0","0","0","87"
"A 60-01","Academia San Agustín y Espíritu Santo de Sabana Grande","Quinta Serra # 1,  Carr 102 (Ave Anselmo Vargas)","Sabana Grande","00637","Apartado 1020","Sabana Grande","00637","(787) 873-4803","(787) 873-4803","sanagustinyespiritusanto@gmail.com","directoraasaessec@gmail.com","(787) 873-4803","(787) 873-4803","Enid Cordero García","Enid Cordero García","Enid Cordero García","Damaris Ghigliotty Camacho","0","26","38","0","50","43","49","45","39","42","0","40","52","51","44","58","55","0","632"
"A 60-02","Academia Adventista del Suroeste","Bo Susúa Baja, Carr 332, Km. 7.1, Interior","Sabana Grande","00637","PO BOX 1196","Sabana Grande","00637","(787) 873-4210","(787) 873-4210","aaso-pr@yahoo.com",,"(787) 334-1524","(787) 873-4210","David Rodríguez","David Rodríguez","David Rodríguez","David Rodríguez","0","2","10","0","7","7","10","10","7","14","0","11","12","7","9","14","14","0","134"
"A 60-04","Santa Ana Bilingual Academy","Carr 102, Km. 38.8 Interior, Sect Santana Minillas, Camino Flor Millán / Las Palmas #100 Sabana Grande","San Germán","00683","Las Palmas # 100","Sabana Grande","00637","(787) 951-4851","(78) 792-3370","ynnahs1992@gmail.com",,"(787) 951-4851","(787) 951-4851","Sol M. Linares","Sol M. Linares","Sol M. Linares","Sol M. Linares","0","16","7","0","13","11","7","11","9","7","0","5","8","8","9","7","4","0","122"
"A 60-05","Miglen Learning School","Carr 364, Urb La Milagrosa #55","Sabana Grande","00637","PO BOX 397","Sabana Grande","00637","(787) 579-1017","(787) 391-9334","miglenls@hotmail.com","miglenls@yahoo.com","(787) 579-1017","-0","Angela Lugo Figueroa","Angela Lugo Figueroa","Angela Lugo Figueroa","Angela Lugo Figueroa","0","11","15","0","8","7","9","12","0","13","0","14","4","8","8","6","5","0","120"
"A 60-06","Academia Serrant, Inc.","Angel G. Martinez #6 y Calle Francisco Mariano Quiñones # 59","Sabana Grande","00637","# 8180 Calle Concordia","Ponce","00717","(787) 873-3900","(787) 873-3800","hserrant@serrant.edu","yanira@serrant.edu","(787) 842-4646",,"n/a","n/a","n/a","Irma Garcia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","7","4","0","25"
"A 60-07","Centro Educativo Elohimm","Carr 365 Km 1.2 Bo Molinas","Sabana Grande","00637","PO BOX 484","Sabana Grande","00637","(787) 647-1288","(787) 606-9317","centroeducativoelohimm@gmail.com","lssylm@gmail.com","(787) 647-1288",,"Wanda Galindo","Wanda Galindo","Wanda Galindo","Wanda Galindo","0","2","0","0","5","2","2","6","1","4","0","0","2","0","1","1","0","0","26"
"A 60-08","Missionary Christian Academy","Carr 368 Km 1.9 Bo Machuchal","Sabana Grande","00637","PO BOX 627","Sabana Grande","00637","(787) 473-4046","(787) 473-4046","missionaryacademy@hotmail.com",,"(787) 473-4043",,"n/d","n/d","n/d","n/d","0","2","1","0","3","2","2","0","2","5","0","8","7","5","2","3","4","0","46"
"A 61-03","Academia Presbiteriana de San Germán, Inc.","Ave Universidad Interamericana Núm. 63","San Germán","00683","PO BOX 54","San Germán","00683","(787) 264-1050","(787) 264-1050","presbysangerman@gmail.com",,"(787) 892-0208",,"Mirna Rivera Rodriguez","Mirna Rivera Rodriguez","Mirna Rivera Rodriguez","Mirna Rivera Rodriguez","0","0","2","0","2","2","6","3","5","4","0","5","9","0","6","0","4","0","48"
"A 61-04","Academia Infantil Aurimar","Carr #2, Km. 169.3, Barrio Hoconuco Bajo","San Germán","00683","HC 04, BOX 13413","San Germán","00683","(787) 316-6268","(787) 316-6268","academia.aurimar@yahoo.com","nelpink@gmail.com","(787) 316-6268","(787) 538-1011","Marianela Rosado Sepúlveda","Marianela Rosado Sepúlveda","No aplica","No aplica","2","13","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26"
"A 61-05","Escuela San Germán Interamericana","Edif. Lamar/Borinquen, Universidad Interamericana de Puerto Rico, Recinto de San Germán","San Germán","00683","PO BOX 5100","San Germán","00683","(787) 264-2159","(787) 264-0408","jfrontera@intersg.edu","escuelasgi@intersg.edu","(787) 892-8140","(787) 264-4448","José L. Frontera Suau, Subdirector","José L. Frontera Suau, Subdirector","Annelisse Ruiz, Subdirectora","Annelisse Ruiz, Subdirectora","0","15","32","0","36","31","49","45","47","35","0","56","50","55","43","55","59","0","608"
"A 61-06","Academia Sangermeña","Carr 347, Km. 0.8, El Cotto, Barrio Sabana Grande Abajo","San Germán","00683","Apartado 1805","San Germán","00683","(787) 892-4565","(787) 892-4565","academia.sangermena@gmail.com",,"(787) 892-4565","(787) 892-4565","Maida Morales","Maida Morales","Patria I. Rodríguez","Patria I. Rodríguez","0","9","11","0","13","13","11","8","8","10","0","16","17","18","6","13","19","0","172"
"A 61-11","Centro Preescolar Jardín de Párvulos","Carr #329, Km 1.9, Barrio Minillas, Valle en San Germán","San Germán","00683","PO BOX 2739","San Germán","00683","(787) 892-4920","(787) 307-8759","Gloria_Santiago03@yahoo.com","Prsc_sg@yahoo.com","(787) 892-4920","(787) 892-3033","Gloria Santiago Ramirez","N/A","N/A",,"0","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69"
"A 61-12","Ángel de la Guarda, CHIMAPS","Carr 423, Km. 0.5, Barrio Hato Arriba y Carr 446, Km. 0.5 Interior y Carr 111, Km. 17.0, Barrio Guatemala","San Sebastián","00685","PO BOX 907","San Sebastián","00685","(787) 896-6304","(787) 280-6524","chimapsschool@gmail.com","vivianmendez09@gmail.com","(787) 280-2900","(787) 280-6524","Vivian Méndez López","Vivian Méndez López","Vivian Méndez López","Vivian Méndez López","29","12","9","0","12","14","9","11","6","15","0","11","6","5","4","0","0","0","143"
