"organizaciones","n_mero_de_casoy_exenci_n","fecha_de_aprobadoo_denegado","fecha_de_efectividad","estatus"
"Asociación de Condómines Condominio Las Carmelitas","99-1101(24)-72","14 de mayo de 1999"," "," "
"Asociación de Condómines Condominio Palmar del Río I","2012-1101.01-405","28 de diciembre de 2012","10 de octubre de 1995"," "
"Asociación de Condómines Condominio Parque Terralinda","2012-1101.01-391","7 de noviembre de 2013","8 de octubre de 1996"," "
"Asociación de Condómines Condominio Playa Buyé","2012-1101.01-855","23 de septiembre de 2014","14 de junio de 1999"," "
"Asociación de Condómines Condominio Playa Oeste","2012-1101.01-799","30 de junio de 2014","12 de julio de 1972"," "
"Asociación de Condómines Condominio Ponce de León Gardens","96-1101(24)-318","16 de diciembre de 1996","16 de diciembre de 1996"," "
"Asociacion de Condomines Condominio Portal De la Reina","00-1101(23)-184","07 de marzo de 2001","07 de marzo de 2001"," "
"Asociación de Condómines Condominio Puerta Buyé","2012-1101.01-846","6 de junio de 2014","22 de junio de 2004"," "
"Asociación de Condómines Condominio Punta Arenas","2012-1101.01-643","24 de diciembre de 2013","25 de junio de 1976"," "
"Asociación de Condómines Condominio Surfside Mansions","2012-1101.01-934","25 de agosto de 2014","3 de mayo de 1972"," "
"Asociación de Condómines Condominio Torre de Oro","2012-1101.01-321","3 de junio de 2013"," ","Denegada"
"Asociación de Condómines Condominio Torre de San Miguel","2012-1101.01-63","4 de noviembre de 2014","23 de agosto de 1990"," "
"Asociación de Condómines Condominio Torrimar Plaza","2012-1101.01-333","20 de septiembre de 2013","22 de enero de 1979"," "
"Asociación de Condómines Condominio Villa CaparraTower","96-1101(24)-193","08 de mayo de 1997","08 de mayo de 1997"," "
"Asociación de Condómines Costa del Mar","2014-1101.01-257","16 de febrero de 2016","29 de mayo de 2010"," "
"Asociación de Condómines de Capitolio Plaza","2011-1101.01-212","1 de octubre de 2012","21 de enero de 2009"," "
"Asociación de Condómines de las Fuentes de Coamo","07-1101(23)-337","01 de junio de 2007"," "," "
"Asociación de Condómines de Montebrisas","02-1101 ( )_242","15 de octubre de 2002","15 de octubre de 2002"," "
"Asociación de Condómines de San Patricio Apts","2012-1101.01-709","10 de abril de 2014","5 de abril de 2006"," "
"Asociación de Condomines del Condominio  Intersuites","00-1101(23)-95","10 de julio de 2000","10 de julio de 2000"," "
"Asociación de Condómines del Condominio Candina Reef","96-1101(24)-631","14 de octubre de 1996","14 de octubre de 1996"," "
"Asociación de Condómines del Condominio Caparra Hills Towers","2012-1101.01-62","30 de abril de 2013","5 de enero de 1994"," "
"Asociación de Condómines del Condominio Continental Beach Resort","2012-1101.01-49","2 de mayo de 2013","1 de abril de 2004"," "
"Asociación de Condómines del Condominio Fortaleza 360 - 362","2012-1101.01-525","10 de abril de 2014"," ","Denegada"
"Asociación de Condómines del Condominio Garden Hill Tower","06-1101(23)-388","13 de agosto de 2007"," "," "
"Asociación de Condómines del Condominio Midtown","2012-1101.01-892","6 de junio de 2014"," ","Denegada"
"Asociación de Condómines del Condominio Monte Real","2012-1101.01-1072","25 de agosto de 2014","2 de marzo de 1990"," "
"Asociación de Condómines del Condominio Mundo Feliz","2012-1101.01-381","22 de agosto de 2013","25 de noviembre de 1974"," "
"Asociación de Condómines del Condominio Plaza Suchville","2012-1101.01-506","1 de junio de 2015","23 de abril de 1993"," "
"Asociación de Condómines del Condominio San Alberto","02-1101 ( )-27","12 de marzo de 2003"," "," "
"Asociación de Condómines del Condominio Villa Caparra Tower","2012-1101.01-500","28 de agosto de 2013","1 de enero de 1975"," "
"Asociación de Condómines del Miramara Embassy","96-1101(24)-321","16 de diciembre de 1996","16 de diciembre de 1996"," "
"Asociación de Condómines Edificio CPR","05-1101 ( )_372","08 de marzo de 2006"," ","Denegada"
"Asociación de Condómines El Comandante Apartments","10-1101 (23)-302","17 de marzo de 2011","01 de octubre de 2009"," "
"Asociación de Condómines HIMA I","09-1101- ( )-385","03 de septiembre de 2010"," ","Denegada"
"Asociación de Condómines Laguna Gardens II","2012-1101.01-951","09 de enero de 2015","12 de noviembre de 1968"," "
"Asociación de Condómines Los Altos del Escorial","2012-1101.01-1098","26 de septiembre de 2014","9 de julio de 2002"," "
"Asociación de Condómines Macor By The Sea","06-1101(23)-460","17 de agosto de 2007","01 de mayo de 2006"," "
"Asociación de Condómines Marina Lanais","2012-1101.01-668","2 de mayo de 2014","14 de julio de 1975"," "
"Asociación de Condómines Meadows Tower","2011-1101.01-312","29 de mayo de 2012","17 de julio de 2003"," "
"Asociación de Condómines New Center Plaza","2012-1101.01-888","4 de septiembre de 2014","21 de octubre de 1998"," "
"Asociación de Condomines Ocean Tower","2012-1101.01-576","1 de noviembre de 2013","1 de enero de 1970"," "
"Asociación de Condómines Parguera Suites Inc","2015-1101.01-31","9 de septiembre de 2016","29 de enero de 2015"," "
"Asociación de Condómines San Patricio Chalets","2012-1101.01-752","6 de julio de 2015","1 de agosto de 1984"," "
"Asociación de Condómines Taft 60","2012-1101.01-592","30 de septiembre de 2013","10 de mayo de 1973"," "
"Asociación de Condómines The Executive","05-1101( )-56","07 de septiembre de 2006"," ","Denegada"
"Asociacion de Condomines The Executive,Inc","01-1101()-78","26 de octubre de 2001"," ","Denegada"
"Asociación de Condómines Torre Médica Hima San Pablo","08-1101( )-308","09 de enero de 2009"," ","Denegada"
"Asociación de Condómines Villas del Mar","96-1101(24)-419","27 de junio de 1996"," "," "
"Asociación de Condómines Villas del Norte Inc","2013-1101.01-352","24 de agosto de 2015","1 de enero de 2013"," "
"Asociación de Condómines-Condominio El Cordobés","99-1101(24)-136","17 de agosto de 1999","17 de agosto de 1999"," "
"Asociación de Condominio Berwind Beach Resort","2012-1101.01-359","22 de agosto de 2013","1 de octubre de 1998"," "
"Asociación de Condominio Costa Marina II","2012-1101.01-755","3 de junio de 2014","12 de noviembre de 1979"," "
"Asociación de Condominio Jardines de Cuenca","2012-1101.01-683","14 de marzo de 2014","14 de junio de 1983"," "
"Asociación de Condominio Marbella del Caribe Oeste","2012-1101.01-691","9 de mayo de 2014","1 de enero de 1978"," "
"Asociación de Condominio Montecillo I","2012-1101.01-850","6 de junio de 2014","1 de diciembre de 1992"," "
"Asociación de Condominio Paseomonte","2012-1101.01-748","6 de junio de 2014","10 de enero de 2001"," "
"Asociación de Condominio Sky Tower III","2012-1101.01-661","24 de febrero de 2014","21 de septiembre de 1978"," "
"Asociación de Condominio Vistas del Río","2012-1101.01-718","20 de mayo de 2014","1 de enero de 2000"," "
"Asociacion de Condominios de los Jardines de Montehiedra","99-1101(24)-121","21 de diciembre de 1999","21 de diciembre de 1999"," "
"Asociación de CondominioTorre la Reina","96-1101(24)-750","08 de mayo de 1997"," "," "
"Asociación de Condóminos Condominio Boulevard del Rio II","2012-1101.01-790","5 de junio de 2014","20 de septiembre de 1999"," "
"Asociación de Condóminos Condominio Cádiz","06-1101(23)-373","26 de marzo de 2007"," "," "
"Asociación de Condóminos Condominio Montecielo","2011-1101.01-485","13 de agosto de 2012","23 de julio de 1970"," "
"Asociación de Condominos Condominio Oliver","95-1101(24)-121","04 de marzo de 1996","04 de marzo de 1996"," "
"Asociación de Condóminos Condominio Reef Towers","2012-1101.01-921","18 de junio de 2014","13 de noviembre de 1980"," "
"Asociación de Condóminos Condominio Victoria Plaza","06-1101(23)-454","16 de agosto de 2007","01 de enero de 2006"," "
"Asociación de Condóminos Condominio Vista Horizonte","2012-1101.01-821","21 de octubre de 2014","1 de enero de 2012"," "
"Asociación de Condóminos del Condominio Altavista","2012-1101.01-730","01 de diciembre de 2014","18 de diciembre de 1978"," "
"Asociación de Condóminos del Condominio Villas del Señorial","2012-1101.01-582","20 de septiembre de 2013","24 de noviembre de 1975"," "
"Asociación de Condóminos del Green Village","2011-1101.01-473","20 de abril de 2012","01 de julio de 2011"," "
"Asociación de Condóminos Park Gardens Townhouses","2012-1101.01-1075","23 de septiembre de 2014","22 de septiembre de 1976"," "
"Asociación de Condóminos Parque de Las Gaviotas","2012-1101.01-74","18 de enero de 2013","1 de diciembre de 2002"," "
"Asociación de Condóminos The Corporate Center at Roosevelt","07-1101 ( )-322","05 de octubre de 2007"," ","Denegada"
"Asociación de Condóminos Villas de Tivoli Inc","2012-1101.01-325","15 de agosto de 2013","16 de febrero de 2012"," "
"Asociación de Condueños del Condominio Parque San Patricio","96-1101(24)-269","19 de julio de 1996"," "," "
"Asociación de Conservación de Suelos de Puerto Rico, Inc.","96-1101(4)-86","04 de noviembre de 1996"," "," "
"Asociación de Constructores de Hogares de Puerto Rico","101(7)","04 de mayo de 1972"," "," "
"Asociación de Consultores Agrícolas, Inc.","101(  )","05 de septiembre de 1969"," "," "
"Asociación de Criadores de Caballos Pura Sangre de Puerto Rico Inc","2012-1101.01-1119","7 de septiembre de 2016","1 de septiembre de 1959"," "
"Asociación de Damas Voluntarias del Plan de Bienestar Seaferes, Inc.","101(  )","03 de enero de 1967"," "," "
"Asociación de Deportistas Coameños, Inc.","04-1101(27)-40","27 de diciembre de 2006"," "," "
"Asociación de Detallistas de Gasolina de Puerto Rico, Inc.","96-1101(5)-322","22 de agosto de 1996"," "," "
"Asociación de Detallistas de Mayaguez y el Oeste de Puerto Rico, Inc.","07-1101(5)-230","03 de octubre de 2007"," "," "
"Asociación de Directores Médicos de Puerto Rico Inc","95-1101(5)-124","22 de diciembre de 1995"," "," "
"Asociación de Distribuidores de Gas Licuado de Petróleo de Puerto Rico, Inc.","101(6)","21 de octubre de 1980"," "," "
"Asociación de Distribuidores Exclusivos de Automóviles Japoneses, Inc.","94-1101(7)-113","16 de octubre de 1995"," "," "
"Asociación de Distrofia Muscular Capítulo de Puerto Rico, Inc.","97-1101(4)-61","25 de marzo de 1997"," "," "
"Asociacion de Duenos Amerias,Inc","99-1101(5)-6","04 de abril de 2000"," "," "
"Asociación de Residentes de Horizontes Inc"," ","02 de agosto de 2004"," "," "
"Asociación de Dueños de Plaza del Puerto Inc","2012-1101.01-398","25 de septiembre de 2014","6 de diciembre de 2002"," "
"Asociación de Dueños de Quintas de Dorado"," ","09 de septiembre de 2004"," "," "
"Asociación de Dueños del Condominio Palma Real","2010-1101 (23)-383","6 de julio de 2011","1 de noviembre de 2009"," "
"Asociación de Dueños Urbanización Vistamar, Inc.","2010-1101 (23)-445","31 de marzo de 2011","01 de enero de 2010"," "
"Asociación de Economistas de Puerto Rico, Inc.","96-1101(5)-435","09 de julio de 1996"," "," "
"Asociación de Educadores en Salud de Puerto Rico","96-1101(6)-120","18 de abril de 1996"," "," "
"Asociación de Ejecutivos de Ventas y Mercadeos de San Juan, Inc.","101(8)","27 de marzo de 1972"," "," "
"Asociación  de  Empleados   de  Comedores   Escolares  de  Puerto  Rico  Afiliada  al  Sindicato
Puertorriqueño de Trabajadores, Inc.","07-1101(1)-251","23 de octubre de 2008"," "," "
"Asociación de Enfermeras (os) Anestesistas de Puerto Rico, Inc.","97-1101(4)-157","17 de noviembre de 1997"," "," "
"Asociación de Enfermería Oncológica y Hematológica de Puerto Rico, Inc.","05-1101(5)-435","06 de septiembre de 2007"," "," "
"Asociación de Esclerosis  Múltiple de P.R., Inc.","86-101(6)-75","16 de diciembre de 1986"," "," "
"Asociación de Escuelas  Privadas de Puerto Rico, Inc.","93-101(6)-51","13 de octubre de 1993"," "," "
"Asociación de Especialistas en Belleza de Puerto Rico, Inc.","08-1101(5)-103","08 de septiembre de 2008"," "," "
"Asociación de Ex - Atletas, ! Yo Soy; Colegio!, Corporation","2012-1101.01-171","15 de marzo de 2013","11 de septiembre de 2011"," "
"Asociación de Ex Alumnos de la Academia"," ","12 de julio de 2004"," "," "
"Asociación de ExAlumnos de la Escuela Graduada de Bibliotecología, Inc.","88-101(7)-71","07 de noviembre de 1988"," "," "
"Asociación de Ex-alumnos de Universidad Interamericana - Poly de Puerto Rico, Inc.","2011-1101.01-263","10 de agosto de 2012","14 de febrero de 1978"," "
"Asociación de Exalumnos del Recinto de Río Piedras","101(6)","19 de julio de 1978"," "," "
"Asociación de Ex-Miembros Tropa ""E"" 192 de Caballería Inc","2012-1101.01-1212","21 de abril de 2015","29 de enero de 2008"," "
"Asociación de Facilidadesy Apoyos Necesarios, Inc. (AFAN, Inc.)","96-1101(4)-87","28 de mayo de 1996"," "," "
"Asociación de Familiares Afectados por la Drogadicción, Inc.(A.F.A.D.A.)","89-101(6)-9","14 de abril de 1989"," "," "
"Asociación de Familiares y Amigos de Pacientes  con SIDA, Inc.","91-101(6)-67","24 de octubre de 1991"," "," "
"Asociación de Fomento Educativo, Inc.","101(22)","12 de marzo de 1981"," "," "
"Asociación de Ganaderos de Hatillo, Inc.","94-101(6)-140","22 de febrero de 1995"," "," "
"Asociación de Gastroenterología y Hepatología Pediátrica de Puerto Rico, Inc.","08-1101(4)-222","01 de enero de 2008"," "," "
"Asociación de Graduadas de la Universidad de Puerto Rico","02-1101(4)-248","01 de abril de 2007"," "," "
"Asociación de Hematología y Oncología Médica de Puerto Rico, Inc.","09-1101 (5)-11","10 de marzo de 2010","17 de octubre de 2007"," "
"Asociacion de Impedidos del Sur en Accion Ponce","02-1101(4)-79","14 de junio de 2002"," "," "
"Asociación de Industriales de Puerto Rico","101(6)","18 de marzo de 1980"," "," "
"Asociación de Industriales del Pan de Puerto Rico Inc","2012-1101.01-645","4 de abril de 2014","1 de febrero de 1994"," "
"Asociación de Industriales y Comerciantes Parque Industrial Luchetti Inc","2012-1101.01-659","11 de abril de 2014"," ","Denegada"
"Asociación de Ingenieros Mecánicos de Puerto Rico","09-1101 (5)-359","5 de octubre de 2010","1 de agosto de 2009"," "
"Asociación de Instituciones Post Secundarias de Puerto Rico Inc","2012-1101.01-715","10 de diciembre de 2014","20 de enero de 2011"," "
"Asociación de Instituciones Post Secundarias de Puerto Rico, Inc.","2012-1101.01-715","10 de diciembre de 2014","20 de enero de 2011"," "
"Asociación de Investigación Biblica, Inc.","101(6)","19 de junio de 1980"," "," "
"Asociación de Jubilados de la  Autoridad de Energía Electrica","86-101(26)-24","30 de enero de 1987"," "," "
"Asociación de Jubilados de la Cooperativa de Seguros Múltiples de Puerto Rico Inc","2012-1101.01-242","24 de mayo de 2016"," ","Denegada"
"Asociación de Jugadores de  Baloncesto de Puerto Rico,Inc","99-1101(6)-64","13 de octubre de 1999"," "," "
"Asociacion de Junta de Residentes de  Estancias de San German","02-1101(4)-87","19 de junio de 2002"," "," "
"Asociación de la Familia Renal, Inc.","96-1101(4)-44","02 de octubre de 1996"," "," "
"Asociación de las Indies Occidentales, Inc.","101(  )","10 de noviembre de 1967"," "," "
"Asociación de Ligas Infantiles y Juveniles de Canóvanas Inc","98-1101 (6)-169","31 de marzo de 1999"," "," "
"Asociación de Ligas Infantiles y Juveniles de Puerto Rico, Inc.","96-1101(6)-88","13 de agosto de 1996"," "," "
"Asociación de Maestros de   Ciencia de Puerto Rico, Inc.","84-101-(6)-41","10 de diciembre de 1985"," "," "
"Asociación de Maestros de Baile de Puerto Rico, Inc.","101(1)","30 de julio de 1970"," "," "
"Asociación de Maestros de Puerto Rico","101(  )","05 de abril de 1965"," "," "
"Asociación de Mayoristas de Repuestos Automotrices(AMRA), Inc.","96-1101(5)-9","19 de septiembre de 1996"," "," "
"Asociación de Mayoristas Importadores y Detallistas  de Alimentos, Inc. (MIDA)","86-101(6)-1","27 de marzo de 1987"," "," "
"Asociación de Mediadores Certificados de Puerto Rico, Inc.","06-1101(5)-212","25 de enero de 2007"," "," "
"Asociación de Miembros   de la Policía de Puerto Rico","101(6)","27 de marzo de 1972"," "," "
"Asociación de Mocanos  Residentes en el Area Metropolitana","101(6)","06 de abril de 1977"," "," "
"Asociación de Mujeres Lideres en Seguridad de Tránsito de Puerto Rico","101(22)","30 de julio de 1975"," "," "
"Asociación de Mujeres Profesionales de Seguros de P.R., Inc.","96-1101(5)-270","16 de septiembre de 1996"," "," "
"Asociación de Museos de Puerto Rico Inc","03-1101( )-436","18 de mayo de 2005"," "," "
"Asociación de Naturópata  de Puerto Rico, Inc.","85-101(6)-68","30 de junio de 1986"," "," "
"Asociación de Navieros de Puerto Rico Inc","2012-1101.01-722","20 de junio de 2014","3 de junio de 1974"," "
"Asociación de Niños con Leucemia de Puerto Rico, Inc.","101(6)","24 de junio de 1981"," "," "
"Asociacion de Ninos y Adultos con Desordenes Geneticos  y Metabolicos de Puerto Rico,Inc","99-1101(4)-134","15 de octubre de 1999"," "," "
"Asociación de Niños y Adultoscon Retardación Mental, Inc.","96-1101(4)-143","10 de mayo de 1996"," "," "
"Asociación de Notarios de Puerto Rico Inc","2012-1101.01-866","18 de noviembre de 2014","1 de julio de 2012"," "
"Asociación de Oficiales de Atletismo del Norte, Inc.","2011-1101 ( )-227","02 de febrero de 2012"," ","Denegada"
"Asociación de Oficiales de Voleibol de Puerto Rico, Inc.","10-1101( )-367","16 de septiembre de 2011"," "," "
"Asociación de Organizaciones Comunitarias para el Desarrollo de Viviendas de Puerto Rico","03-1101 ( )_83","30 de agosto de 2004"," "," "
"Asociación de Padres  Sustitutos-Región de Bayamón","88-101(6)-1","02 de marzo de 1988"," "," "
"Asociación de Padres de Estudiantes Atletas de Natación Becados en el ECEDAO Corp","2012-1101.01-175","4 de febrero de 2013","20 de enero de 2012"," "
"Asociación de Padres de Niños Sordos-Ciegos, Inc.","92-101(6)-118","30 de junio de 1993"," "," "
"Asociación Latino-Américana de Evangelismo, Inc.","101(6)","25 de mayo de 1976"," "," "
"Asociación de Padres Pro-Bienestar de Niños  Impedidos de Puerto Rico, Inc.","101(6)","15 de diciembre de 1980"," "," "
"Asociación de Padres Programa Respiro de Puerto Rico, Inc. (Respiro de Puerto Rico Inc)","98-1101(4)-52","01 de julio de 1998"," ","Revocada 29 oct 2015"
"Asociación de Padres y   Amigos del Centro de Diagnostico y Orientación para Niños Retardados
Mentalmente, Inc.","92-101(6)-22","11 de junio de 1992"," "," "
"Asociación de Padres y Amigos Orquesta Sinfónica ELM, ERA, Inc.","05-1101(4)-352","26 de enero de 2007"," "," "
"Asociación de Padres, Maestros y Estudiantes del Colegio Puertorriqueño de Niñas Inc","2013-1101.01-369","17 de junio de 2016"," ","Denegada"
"Asociación de Padres, Maestros y Voluntarios del  Instituto Loaíza Cordero para Niños Ciegos,
Incorporada","96-1101(4)-68","14 de mayo de 1996"," "," "
"Asociación de Padresde Estudiantes del Proyecto Articulación Universitaria de  la Escuela Isabel
Flores, Inc.","97-1101(4)-139","03 de diciembre de 1997"," "," "
"Asociación de Pensionados de las Empresas Privadas de Puerto Rico, Inc.","96-1101(5)-486","13 de agosto de 1996"," "," "
"Asociación de Pensionados del Gobierno de Puerto Rico, Inc.","101(7)","07 de diciembre de 1979"," "," "
"Asociación de Pequeños  Agricultores de Rabanal, Inc.","86-101(6)-3","31 de diciembre de 1986"," "," "
"Asociación de Periodistas de Puerto Rico (Prensa, Radio y Televisión), Inc.","08-1101 (5)-219","08 de febrero de 2010","01 de julio de 2007"," "
"Asociación de Personas Adultas Superación, Incorporado","93-101(6)-107","02 de marzo de 1994"," "," "
"Asociación de Personas Impedidas, Inc.","87-101(12)-85","20 de agosto de 1985"," "," "
"Asociación de Pesca Deportiva de Dorado Inc","2012-1101.01-5","15 de mayo de 2013","2 de abril de 1984"," "
"Asociación de Pesca Deportiva de Puerto Rico Inc","2012-1101.01-942","23 de enero de 2015","27 de enero de 1984"," "
"Asociacion de Pescadores de la Isla De Culebra,Inc","01-1101()-186","19 de junio de 2002"," ","Denegada"
"Asociación de Pescadores de la Playa de Ponce, Inc.","08-1101( )-155","10 de diciembre de 2008"," "," "
"Asociación de Pescadores El Capitán, Corp.","09-1101 (1)-187","24 de mayo de 2010","01 de enero de 2009"," "
"Asociacion de Pescadores Parcelas Aguas Clara del Este","01-1101()-216","22 de junio de 2001"," ","Denegada"
"Asociación de Productores de Azúcar de Puerto Rico","101(22)","09 de mayo de 1972"," "," "
"Asociación de Productores de Leche de Camuy y Quebradillas, Inc.","101(6)","16 de noviembre de 1981"," "," "
"Asociación de Profesionales de la Autoridad de los Puertos de Puerto Rico Inc","2012-1101.01-461","26 de febrero de 2014","16 de noviembre de 1972"," "
"Asociación de Profesionalesen Relaciones Laborales Incorporada","97-1101(5)-76","29 de abril de 1997"," "," "
"Asociación de Profesores de Educación Comercial  de Puerto Rico, Inc.","87-101(6)-14","19 de junio de 1987"," "," "
"Asociación de Profesores del Colegio Universitario de Humacao, Inc.","06-1101(1)-304","16 de octubre de 2007"," "," "
"Asociación de Profesores Jubilados de la Universidad de Puerto Rico Inc","2012-1101.01-474","19 de diciembre de 2013","28 de enero de 1987"," "
"Asociación de Profesores Universitarios de  Aguadilla, Inc.","94-101(6)-122","22 de febrero de 1995"," "," "
"Asociación de Propietarios  y Comerciantes de la Calle  Cerra, Inc.","96-1101(6)-725","03 de julio de 1997"," "," "
"Asociación de Propietarios Altos de Panorama, Inc.","2014-1101.01-321","25 de noviembre de 2015","1 de enero de 2014"," "
"Asociación de Propietarios Alturas de Monte Casino, Inc.","97-1101(24)-267","12 de noviembre de 1997"," "," "
"Asociación de Propietarios Condominio Bahía Serena I","2012-1101.01-795","6 de noviembre de 2014","8 de septiembre de 2004"," "
"Asociación de Propietarios Condominio Madrid","2011-1101.01-294","1 de junio de 2012"," ","Denegada"
"Asociación de Propietarios Condominio Radio Centro","2012-1101.01-743","9 de mayo de 2014"," ","Denegada"
"Asociación de Propietarios Condominio San Luis","2011-1101.01-382","20 de agosto de 2012","6 de junio de 1957"," "
"Asociación de Propietarios de ""The River Park Villas"", Inc.","2010-1101(23)-446","02 de septiembre de 2011","01 de julio de 2010"," "
"Asociación de Propietarios de B. D. P. Inc","2012-1101.01-1185","23 de abril de 2015","1 de enero de 2012"," "
"Asociación de Propietarios de Baldwin Park, Inc.","96-1101(24)-487","03 de febrero de 1997"," "," "
"Asociación de Propietarios de Campo Lago Inc","2013-1101.01-282","4 de septiembre de 2015","1 de enero de 2013"," "
"Asociación de Propietarios de Ciudad Jardín de Canóvanas, Inc.","09-1101 (23)-353","13 de agosto de 2010","01 de enero de 2009"," "
"Asociación de Propietarios de Colina del Fresno, Corp.","10-1101 (23)-373","01 de diciembre de 2010","01 de enero de 2010"," "
"Asociación de Propietarios de Curiel, Inc.","08-1101(23)-193","10 de diciembre de 2008"," "," "
"Asociación de Propietarios de Hacienda Margarita, Inc.","07-1101(23)-359","22 de mayo de 2008"," "," "
"Asociación de Propietarios de Haciendas del Club, Golf y Playa, Inc.","10-1101(23)-189","31 de octubre de 2011","01 de enero de 2010"," "
"Asociación de Propietarios de Harbour Lights Estates Inc","2012-1101.01-337","26 de noviembre de 2014","25 de febrero de 1998"," "
"Asociación de Propietarios de la Urbanización Dorado Reef Inc","2014-1101.01-106","1 de octubre de 2015","1 de enero de 2014"," "
"Asociación de Propietarios de la Urbanización Hacienda Toledo, Inc.","07-1101(23)-12","17 de marzo de 2008"," "," "
"Asociación de Propietarios de la Urbanización Monteverde Real Inc","2012-1101.01-1145","12 de noviembre de 2014","13 de mayo de 2002"," "
"Asociación de Propietarios de la Urbanización Paseo del Parque, Inc.","96-1101(24)-488","16 de septiembre de 1996"," "," "
"Asociación de Propietarios de la Urbanización Valle Real Inc","2012-1101.01-281","26 de abril de 2013","30 de mayo de 1990"," "
"Asociación de Propietarios de Las Haciendas Inc","2012-1101.01-676","27 de enero de 2014","28 de junio de 2006"," "
"Asociación de Propietarios de Lomas del Sol, Inc.","07-1101(23)-70","16 de octubre de 2007"," "," "
"Asociación de Propietarios de los Arboles Inc","04-1101 ( )-285","25 de abril de 2005"," "," "
"Asociación de Propietarios de Los Arboles Inc","2004-1101(23)-285","25 de abril de 2005","5 de diciembre de 2002"," "
"Asociación de Propietarios de Los Sauces Inc","2012-1101.01-898","1 de junio de 2015","22 de septiembre de 1992"," "
"Asociación de Propietarios de Mansiones de Bairoa, Inc.","2010-1101(23)-472","31 de octubre de 2011","01 de enero de 2010"," "
"Asociación de Propietarios de Paraíso Escondido","2014-1101.01-188","8 de septiembre de 2016","1 de enero de 2012"," "
"Asociación de Propietarios de Praderas de Navarro Inc","2012-1101.01-261","6 de marzo de 2013","14 de abril de 2005"," "
"Asociación de Propietarios de Prado Alto en Torrimar Inc","2012-1101.01-516","27 de enero de 2014","7 de enero de 1986"," "
"Asociación de Propietarios de Urbanización Brisas de Montecasino, Inc.","2012-1101.01-932","08 de diciembre de 2014","08 de febrero de 2002"," "
"Asociación de Propietarios de Urbanización Costa Norte, Inc.","07-1101(23)-55","16 de agosto de 2007"," "," "
"Asociación de Propietarios de Urbanización Hacienda Florida Inc","2012-1101.01-468","16 de octubre de 2013","26 de abril de 1999"," "
"Asociación de Propietarios de Urbanización Jardines de Caguas, Inc.","10-1101 (6)-141","28 de marzo de 2011","01 de enero de 2010"," "
"Asociación de Propietarios de Urbanización Montecasino Heights, Inc.","08-1101(23)-172","15 de diciembre de 2008"," "," "
"Asociación de Propietarios de Urbanización Palacio Imperial, Inc.","07-1101(23)-217","26 de septiembre de 2007"," "," "
"Asociación de Propietarios de Urbanización Palacios del Monte, Inc.","07-1101(23)-216","26 de septiembre de 2007"," "," "
"Asociación de Propietarios de Urbanización Palacios del Prado Inc","2012-1101.01-1165","24 de abril de 2015","20 de mayo de 2004"," "
"Asociación de Propietarios de Urbanización Palacios del Río II, Inc.","07-1101(23)-58","20 de noviembre de 2007"," "," "
"Asociación de Propietarios de Urbanización Paseo de Las Olas, Inc.","2011-1101.01-280","3 de julio de 2012","5 de julio de 2001"," "
"Asociación de Propietarios de Urbanización Vistas de Coamo, Inc.","2011-1101.01-393","12 de junio de 2012","24 de marzo de 2006"," "
"Asociación de Propietarios de Vega Serena, Inc.","07-1101(23)-429","22 de febrero de 2008"," "," "
"Asociación de Propietarios de Villa Caparra Norte, Inc.","2012-1101.01-629","7 de noviembre de 2013","23 de abril de 1985"," "
"Asociación de Propietarios de Villa Serena Inc","2013-1101.01-185","20 de octubre de 2016","1 de enero de 2013"," "
"Asociación de Propietarios del Centro de Distribución Amelia Inc","2012-1101.01-656","10 de abril de 2014"," ","Denegada"
"Asociación de Propietarios del Condominio Puerto Salinas","2014-1101.01-338","16 de febrero de 2016","5 de abril de 2006"," "
"Asociación de Propietarios Hollywood Estates Inc","2015-1101.01-174","23 de noviembre de 2016","26 de febrero de 2013"," "
"Asociación de Propietarios Villas de Buena Vista, Inc.","96-1101(24)-59","23 de diciembre de 1996"," "," "
"Asociación de Propietarios Vistas del Océano Inc","2012-1101.01-1198","10 de noviembre de 2014","16 de diciembre de 1999"," "
"Asociación de Prostodoncistas de Puerto Rico Inc","2012-1101.01-1219","4 de noviembre de 2015","29 de abril de 2008"," "
"Asociación de Proyectos Comunitarios de Servicios Cristianos Inc","2012-1101.01-835","4 de mayo de 2015","14 de septiembre de 2010"," "
"Asociación de Psicologos de P.R.","101(6)","06 de julio de 1979"," "," "
"Asociación de Psiquiatras Egresados del Puerto Rico Institute of Psychiatry, Inc.","08-1101(5)-207","24 de septiembre de 2003"," "," "
"Asociación de Relacionistas Profesionales Inc","2014-1101.01-234","7 de junio de 2016","19 de mayo de 1970"," "
"Asociación de Res de Vistas de Río Grande Inc"," ","15 de abril de 2005"," "," "
"Asociación de Res River Valley Park Canóvanas Inc","04-1101-(23)-363","22 de julio de 2005"," "," "
"Asociación de Residentes - Llanos de Gurabo Inc","2014-1101.01-309","18 de agosto de 2016","18 de agosto de 1998"," "
"Asociación de Residentes Bayamón Gardens y Rexville (BAYREX) Inc","2015-1101.01-83","17 de febrero de 2017","5 de octubre de 1995"," "
"Asociación de Residentes Borinquen Valley Inc","2013-1101.01-335","2 de octubre de 2015","1 de enero de 2013"," "
