"lic","nombre_de_la_institucion","direccion_fisica","pueblo_fisico","zip_code_fisico","direccion_postal","pueblo_postal","zip_code_postal","telefono_primario","telefono_secundario","email_primario","email_secundario","fax_primario","fax_secundario","nombre_del_director","matricula_total"
"V 70-15","Instituto de Comercio y Bienes Raíces","Calle Marina #9140, Edificio Ponciana, Suites 205 y 406","Ponce","00733","PO BOX 336771","Ponce","00717","(787) 840-4375","(787) 840-4375","candidomartinezschool@hotmail.com","candidomartinezschool@hotmail.com","(787) 840-4375","(787) 840-4375","Cándido Martínez Rodríguez","0"
"V 70-16","Inst for the Tech and Occup Careers, Inc. y/o Fashion Institute y/o Performing Arts Studio","Avenida Ponce de León Parada 23 1/2 Edif Cobian Plaza #1607 Local GM02","San Juan","00909","PO BOX 8681","San Juan","00910","(787) 268-2999","(787) 502-2816","ritacolon@hotmail.com","finanzas@sanjuanschoolpr.com","(787) 963-0826","(787) 982-7384","Rita Colón","209"
"V 70-18","Instituto Educativo Premier","Villa #123","Ponce","00730","Villa #123","Ponce","00730","(787) 843-1515","(787) 499-1515","rafaelvalladares1@live.com","rafaelvalladares1@live.com","(787) 843-3786",,"Bárbara I. Torres Viñolo","243"
"V 70-23","Centros Sor Isolina Ferré, Inc.","Parcelas Amalia Marin Calle Roberto Baracoa Collado Final # 4903","Ponce","00731","PO BOX 7313","Ponce","00732","(787) 842-0000","(787) 453-3010","jovenesyadultostabaiba@gmail.com","emuniz@csifpr.org","(787) 840-5020",,"José Luis Díaz Cotto","56"
"V 70-24","Automeca Technical College","Calle Villa # 452","Ponce","00728","PO BOX 7105, PMB 271","Ponce","00732","(787) 840-7880","(787) 840-7640","wisantiago@automeca.com","dfernandez@automeca.com","(787) 779-6200",,"Wigberto Santiago","264"
"V 70-27","Trinity College of Puerto Rico","Ave. Hostos # 834","Ponce","00716","PO BOX 7313","Ponce","00732","(787) 842-0000","(787) 848-5739","mpbonnin@trinitypr.edu","imedinam@csifpr.org","(787) 284-2537","(787) 840-5020","María del Pilar Bonnin Orozco","84"
"V 70-43","Beautech Express Academy","Calle Villa #137","Ponce","00730","Calle Villa #137","Ponce","00730","(787) 812-3117","(787) 842-7076","beautechxp@gmail.com","beautechxp@gmail.com","(787) 812-3117",,"Miriam Serrano Quiñones","17"
"V 70-47","Job Connection Center, Inc.","Calle Mayor Número 49","Ponce","00733","PO BOX 335120","Ponce","00733","(787) 848-1280","(787) 843-1144","lacevedo@jobconnectioncenter.com","oacevedo@jobconnectioncenter.com","(787) 843-1144","(787) 848-1280","Odette Acevedo","32"
"V 70-47.1","Job Connection Center, Inc. (Centro de Extensión Educativa)","Calle Font Martello Esq. Francisco Vega Núm. 45","Humacao","00791","PO BOX 335120","Ponce","00733","(787) 852-5195","(787) 848-1280","lacevedo@jobconnectioncenter.com","oacevedo@jobconnectioncenter.com","(787) 843-1144","(787) 767-4689","Jazmary Vega Alvarez","77"
"V 70-49","Universidad del Turabo Centro Universitario de Ponce: Escuela de Estudios Técnicos","Carr. PR 14, Km. 3.4, Bo. Machuelo","Ponce","00717","PO BOX 740, Mercedita","Ponce","00715","(787) 812-5001","(787) 743-7979","keroche@suagm.edu","ut_mflores@suag.edu","(787) 844-2383","(787) 743-7979","Sigfredo Morales","80"
"V 70-51","Golden Academy","Avenida Roosevelt #2844, Edificio Torres, Local 2, Suite #102","Ponce","00733","PO BOX 330206","Ponce","00733","(787) 844-6529","(787) 844-6529","dev_consultants@yahoo.com","dev_consultants@yahoo.com","(787) 843-0641","(787) 844-6529","Maria Del C. Sarraga","6"
"V 70-55","MECH-TECH COLLEGE, LLC","Carr. PR-2, Km. 220.1, Complejo Recreacional El Tuque","Ponce","00732","PO BOX 10430","Ponce","00732","(787) 744-1060","(787) 709-4440","edwincolon@mechtech.edu","ysierra@mechtech.edu","(787) 744-1035","(787) 709-4199","Julio Illanas","339"
"V 70-57","American Business and Technical College.","#85Calle Méndez Vigo, Esquina Guadalupe","Ponce","00730","PO BOX 8170","Ponce","00732","(787) 207-1577","(787) 207-1577","abtc.pr@hotmail.com","osvi-1@hotmail.com","(787) 284-7733","-0","Osvaldo Medina","10"
"V 70-60","Caribbean University-Centro de Ponce","Avenida La Ceiba 1015","Ponce","00732","PO BOX 7733","Ponce","00732","(787) 840-2955","(787) 780-0070","president@caribbean.edu","mvalle@caribbean.edu","(787) 785-0101","(787) 780-0070","Prof. Sonia Pacheco","0"
"V 70-61","Instituto Educativo de las Américas Inc.","Calle Torres #6143 Altos Plaza del Sol de Boriquen","Ponce","00717","PMB 317, #1575 Ave. Muñoz Rivera","Ponce","00717","(787) 843-8005","(787) 843-8005","iecdponce@gmail.com",,"(787) 843-8005",,"Héctor L. Vázquez Torres","12"
"V 70-62","North Point International Institute","Ave. Tito Castro #606 La Rambla Plaza Suite 119","Ponce","00780","PO BOX 801150","Ponce","00780","(787) 848-9898","(787) 848-9898","olugo@edunorthpoint.net","aristi@campussite.org","(787) 848-9898",,"n/d",
"V 74-02","Columbia Central University","Edificio Galeria Yaucana Calle Betances #3","Yauco","00698","PO BOX 3062","Yauco","00698","(787) 856-0845","(787) 856-0945","jmendez@columbiacentral.edu","crivera@columbiacentral.edu","(787) 267-0994","(787) 856-0945","Dra. Jannette Mendez","0"
"V 74-06","Universidad del Este","Calle Santo Domingo, Núm. 29 Final","Yauco","00698","Calle Santo Domingo Final #29","Yauco","00698","(787) 856-4852","(787) 257-7373","mvelezr@suagm.edu","pamercado@suagm.edu","(787) 257-8841","(787) 856-4852","Dra. Mildred Huertas Sola","184"
"V 74-10","Instituto de Banca y Comercio, Recinto de Yauco","Yauco Plaza 1 Shopping Center, Suite #48","Yauco","00698","Yauco Plaza Shopping Center, Suite #48","Yauco","00698","(787) 992-0237","(787) 221-5704","aroche@ibancapr.com","mkilgore@ibancapr.com","(787) 992-0240","(787) 992-0240","Sra. Awilda Roche Cruz, Directora","558"
"V 75-01","Richport Technical College","Carr. # 189, Km 6.0, Rincón Industrial Park","Gurabo","00778","HC 02 Box 12004","Gurabo","00778","(787) 712-4851","(787) 712-4645","hac02@coqui.net","hac01@coqui.net","(787) 712-6003","(787) 712-6003","Dr. Lester Colón de Vega","88"
"V 75-01.2","Richport Technical College (Centro de Extensión Educativa)","Carr. # 713, Km 1.5 Bo. Jobos, Sector Villodas","Guayama","00784","HC 02 Box 12004","Gurabo","00778","(787) 866-3597","(787) 712-4748","hac02@coqui.net","hac01@coqui.net","(787) 712-6003","(787) 712-6003","Dra. Lester Colón de Vega","0"
"V 75-04","Dewey University","Carr. PR # 3, Km. 11.1, Lote 3A , 7 y 8, Industrial Park","Carolina","00986","PO BOX 19538","San Juan","00910","(787) 769-1515","(787) 753-0039","director.car@dewey.edu","miguel.rivera@dewey.edu","(787) 769-1979","(787) 769-1579","Sra. Lourdes Soto Simonetti","72"
"V 75-06","Colegio de Cinematografía, Artes y Televisión (CCAT)","Calle Dr. Veve, # 51, Esq. Calle Degetau, Bayamón Pueblo","Bayamón","00960","PO BOX 10774","San Juan","00927","(787) 779-2500","(787) 798-6705","cgarcia@ccat.edu","mfeliciano@ccat.edu","(787) 995-2525",,"Harry J. Vázquez","174"
"V 75-06.1","Colegio de Cinematografía, Artes y Televisión (CCAT) (Centro de Extensión Educativa)","Calle Gautier Benítez Local 1-A Esquina Monseñor Berrios Bo. Pueblo","Caguas","00725","PO BOX 10774","San Juan","00927","(787) 653-7666","(787) 779-2500","cgarcia@ccat.edu","mfeliciano@ccat.edu","(787) 995-2525",,"Harry J. Vázquez","94"
"V 75-09","Modern Hairstyling Institute","Carr. 887 KM 0.9 BO MARTIN GONZALEZ VICTORIA PARK","Carolina","00985","PO BOX 369","Bayamón","00960","(787) 778-0300","(787) 752-8383","e.lebron@modern.edu","dr.berrios@modern.edu","(787) 740-3980",,"Antonia Santiago","226"
"V 75-15","Universidad del Este","Bo. Sabana Abajo, Carr. Número 190, Km. 1.8","Carolina","00984","PO BOX 2010","Carolina","00984","(787) 257-7373","(787) 751-1405","mvelezr@suagm.edu","pamercado@suagm.edu","(787) 257-8841","(787) 752-8749","Dra. Mildred Huertas Solá","278"
"V 75-20","Educational Computer Center","Calle 11, Núm. 33-1, Extensión Villa Carolina","Carolina","00985","PO BOX 8728, Plaza Carolina Station","Carolina","00988","(787) 776-7230","(787) 998-3723","laponte@eccpr.com","lourdesaponte@hotmail.com","(787) 998-3723","(787) 776-7230","Lourdes M. Aponte Rodríguez","41"
"V 75-27","Sulky Lugo, Servicios Profesionales de Bienes Raíces","Calle 401, Bloque 143 #4, Urb. Villa Carolina","Carolina","00985","PO BOX 3918","Carolina","00984","(787) 750-1333","(787) 750-1333","sulkylugo@gmail.com","academiasulkylugo@yahoo.com","(787) 776-1460",,"Severa Lugo Alarcón","0"
"V 75-32","International Hospitality Group, Inc.","Carr. 187, Km. 1.5, Ave. Boca de Cangrejos #7012, Isla Verde","Carolina","00979","Ave. Boca de Cangrejos # 7012, Isla Verde","Carolina","00979","(787) 791-7717","(787) 253-2378","svila@sjcourtyard.com","torregrosa.luis@gmail.com","(787) 791-7727",,"Luis Torregrosa","28"
"V 75-36","Sylvia Realty Instituto de Bienes Raíces","Urb. Villas de Cupey, Calle Platero B-1","San Juan","00926","PMB #105, 100 Gran Paseos Boulevard, Suite 112","San Juan","00926","(787) 292-1319","(787) 292-1319","instituto@sylviarealty.com","mstorres@sylviarealty.com","(787) 292-1319",,"Martha Sylvia Torres Nuñez","3"
"V 75-37","Caribbean Aviation Training Institute, Inc.","Ave. José A Santana, Ed. World Cargo, 2nd Floor, Base Muñiz Carolina, P.R. 00979","Carolina","00981","PO BOX 810300","Carolina","00981","(787) 253-2030","(787) 253-2030","jaimecruz.caribav.edu@gmail.com","e.figueroa@caribav.org","(787) 253-2030","(787) 253-2030","Jaime Cruz","83"
"V 75-37.1","Caribbean Aviation Training Institute - Extensión Educativa","Edificio VIP,Marriott Courtyard – Calle 4th Street esq Wings Road, West Parade #200 Base Ramey","Aguadilla","00603","PO BOX 81300","Carolina","00981","(787) 253-2030","(787) 243-6696","jaimecruz.caribav.edu@gmail.com","admin@caribav.org","(939) 337-5670",,"Ezra Figueroa Ríos & Jaime Cruz","38"
"V 75-39","The Learning Zone Institute","Calle Dr. Fernandez # 203","Trujillo Alto","00977","PO. Box 1496","Trujillo Alto","00977","(787) 529-2291","(787) 668-7800","educatepr@educatepr.com","earubio@gmail.com","(787) 761-8171","(787) 761-8171","José A. Cruz Ortiz","0"
"V 75-40","Instituto de Banca y Comercio (Recinto Carolina)","Ave. 65 Infantería, Km. 5.4. Bo. Sabana Llana","San Juan","00983","Edificio Royal Motors, Ave. 65 Infantería","San Juan","00983","(787) 522-2300","(787) 522-2300","aaviles@nuc.edu","jtorres19@nuc.edu","(787) 522-2323","(787) 522-2300","José Torres González","777"
"V 75-43","World Training Academy, Inc.","Calle Infante 618, Urb. Extension El Comandante","Carolina","00985","2185 Carretera #2","Bayamón","00960","(787) 276-6686","(787) 593-6677","info@worldtrainingacademy.com","ivelisse@ckvnailsystem.com","(787) 257-8294",,"Harry Archilla Trinidad","175"
"V 75-44","EDIC College","Victoria Industrial Park, Edificio #1, Carr. 887 km. 0.8","Carolina","00979","PO BOX 9120","Caguas","00926","(787) 701-5100","(787) 744-8519","rrflores@ediccollege.edu","lramirez@ediccollege.edu","(787) 276-8512",,"Ricardo Flores","226"
"V 75-45","NUC IBC Institute Centros de Extensión Los Colobos","Carr. PR # 3 KM 13.8 Lote 3-A Bo. Canovanillas, Los Colobos","Carolina","00987","750 Carr. PR # 3 KM 13.8, Los Colobos, Carolina","Carolina","00987","(787) 876-7819","(787) 876-7819","aaviles@nuc.edu","anthrodriguez@ibancapr.com","(787) 256-3254","(787) 253-3254","Anthony Rodriguez Díaz","533"
"V 75-46","Caribbean University-Centro de Carolina","Calle San Ignacio Arzuaga #106","Carolina","00984","PO BOX 4760","Carolina","00984","(787) 769-0007","(787) 780-0070","president@caribbean.edu","mvalle@caribbean.edu","(787) 785-0101","(787) 780-0070","Prof. Melba Martinez Gonzalez","0"
"V 76-05","Cambridge Technical Institute","Ave. Ponce de Leon 1058","San Juan","00925","PO BOX 373517","Cayey","00737","(787) 792-5950","(787) 263-0353","arivera@cti.edu","jvargas@dmartpr.com","(787) 263-1481",,"Amarilis Rivera Gonzalez","116"
"V 77-01","CEM College","Urb. San Agustín, Calle 13, #1206, #1207,#1208 y Avenida 65th Infantería","San Juan","00926","PO BOX 191317","San Juan","00919-1317","(787) 765-4210","(787) 765-4210","brenda.colon@cemcollege.edu","brenda.colon@cemcollege.edu","(787) 765-4277","(787) 765-1660","Brenda Colón Santos","79"
"V 77-06","Liceo de Arte y Tecnología","405 Ave. Ponce de León","San Juan","00917","PO BOX 192346","San Juan","00919-2346","(787) 999-2473","(787) 999-2473","gmanzanal@liceopr.com","miguel@liceo.edu","(787) 754-8234","(787) 765-7210","José A. Rodríguez Samalot","844"
"V 77-18","Instituto Comercial de Puerto Rico, Inc.","Ave. Muñoz Rivera # 558","San Juan","00919","PO BOX 190304","San Juan","00919","(787) 753-6000","(787) 763-1010","mrivera@icprjc.edu","lvargas@icprjc.edu","(787) 763-7249","(787) 624-3416","María de los M. Rivera Cancel","50"
"V 77-18.1","Instituto Comercial de Puerto Rico Junior College, Inc. (ICPR) (Centro de Extensión Educativa)","Carr. #5, Esquina Bobby Capó, Suite A-101 y A-102, Tren Urbano","San Juan","00919","PO BOX 55438 Station 1","Bayamón","00960","(787) 523-6000","(787) 723-6000","srijos@icprjc.edu","lvargas@icprjc.edu","(787) 523-6049","(787) 723-6000","Sandra Rijos Pérez","130"
"V 77-25","Escuela Hotelera de San Juan","Calle Guayama, Núm. 229","San Juan","00917","Calle Guayama, Núm. 229","San Juan","00917","(787) 759-7599","(787) 766-0606","rmaldonado@escuelahotelera.edu","apascual@escuelahotelera.edu","(787) 281-6855","(787) 281-6855","Ramón Maldonado Ortiz","619"
"V 77-31","Workforce Training & Employment Center, Inc.","Marginal 65 de Infantería #11, Urb. San Agustín","San Juan","00925","Calle Olmo 501 Apt 210  Highland Park Apartments","San Juan","00924","(787) 587-5036","87-5503","WOTECPR@AOL.COM","WOTECPR@AOL.COM","(787) 587-5036",") -","Rosa Julia Orama","25"
"V 77-33","Colegio Universitario de San Juan","180 Calle José Oliver,  esquina avenida Calaf, Hato Rey","San Juan","00918","180 Ave. José Oliver Final","San Juan","00918","(787) 480-2371","(787) 480-2450","pgelpi@sanjuanciudadpatria.com","hzayas@cunisanjuan.edu","(787) 250-7395","(787) 753-5649","Dra. Phaedra Gelpi Rodríguez, Rectora Interina","62"
"V 77-37","Aerobic Training International","Edificio YMCA Segundo Piso Santurce, Parada 26","San Juan","00919","PO BOX 192794","San Juan","00926","(787) 635-4034","(787) 717-4357","mendiza@yahoo.com",,"(787) 763-5434","(787) 763-5434","María Teresa Mendizábal Barreda","0"
"V 77-39","Escuela de Tecnología y Asistente Dental de PR, Inc, San Juan","#518 Calle Teniente César González Urbanización Roosevelt","San Juan","00918","PO BOX 366515","San Juan","00936","(782) 250-8938","(939) 639-3639","escuelatecnologiayasistdentalpr@yahoo.com",,"(787) 250-8938",,"Ana Hilda Viera Carrrasquillo","4"
"V 77-40","Meaux Real Estate Education","Urb Tres Monjitas, Calle Federico Costa #170","San Juan","00918","Ext San Agustin, Calle 3 #1221","San Juan","00926","(787) 717-5353","(787) 789-9827","meauxlaw@gmail.com",,"-0",,"Gerardo G. Meaux Pereda","0"
"V 78-09","Instituto de Banca y Comercio (Recinto)","Ave. Ponce de León # 61","San Juan","00917","# 61 Ave. Ponce de León","San Juan","00917","(787) 754-7120","(787) 754-7120","nrosario2@ibancapr.com","rreyes2@ibancapr.com","(787) 754-7143","(787) 982-3040","Nayda M. Rosario Gonzalez","560"
"V 78-14","Caribbean Forensic and Technical College, Inc","Paseo de Diego 5, Piso 2 y 3 (Altos Ferreteria Lopez)","San Juan","00925","PO BOX 190793","San Juan","00919","(787) 759-6995","(787) 751-6961","imerca@coqui.net","imerca@icloud.com","(787) 751-6961",,"Ruben Diaz De Leon","69"
"V 78-15","Universidad Interamericana de Puerto Rico (Recinto Metropolitano): Programa de Certificados","Calle Eleanor Roosevelt # 118","San Juan","00919","PO BOX 191293","San Juan","00919","(787) 620-2047","(787) 250-1912","mwayland@metro.inter.edu","mjcarlos@metro.inter.edu","(787) 250-0742","(787) 250-1912","Marilina Wayland, Rectora","213"
"V 78-16","Modern Hairstyling Institute","Carr. # 2 Km 80.1 Marginal, Vista Azul Shopping Center","Arecibo","00612","PO BOX 369","Bayamón","00961","(787) 778-0300","(787) 817-3906","e.lebron@modern.edu","dr.berrios@modern.edu","(787) 740-3980","(787) 740-3980","Annie Rodriguez","85"
"V 78-21","Northern Research & Training Institute","Ave. Franklin Delano Roosevelt # 185, Roosevelt Plaza, Suite 3D","San Juan","00917","Ave. Franklin Delano Roosevelt # 185, Roosevelt Plaza, Suite 3D","San Juan","00917","(787) 763-7113","(787) 763-7113","fuentesvalentin@prw.net","northerninstitute@prw.net","(787) 653-0050","(787) 763-7113","Angel A. Fuentes Valentín","0"
"V 78-23","San Juan Board of Realtors","Calle Celestial # 2030, Urb. Los Angeles","Carolina","00979","Calle Celestial # 2030, Urb. Los Angeles","Carolina","00979","(787) 751-2073","-0","sanjuanboard@gmail.com",,"(787) 751-2073",,"Maribelle Rivera","0"
"V 78-27","Educational Technical College, Inc., [EDUTEC] BAYAMON","#1685, Carr. #2, Km. 11.2","Bayamón","00959","#1685, Carretera #2, Km. 11.2","Bayamón","00959","(787) 780-8234","(787) 780-8255","jferrer@edutecpr.com","mreyes@edutecpr.com","(787) 780-8258","(787) 780-8234","Carmen T. Ramírez Directora Ejecutiva","265"
"V 78-30","Universidad Metropolitana Escuela de Estudios Técnicos","1399 Ave. Ana G. Méndez","San Juan","00926","PO BOX 21150","Puerto Rico","00928","(787) 766-1717","(787) 751-0178","um_laponte@suagm.edu","livega@suagm.edu","(787) 759-7663","(787) 753-5990","Dr. Carlos M. Padín Bibiloni","464"
"V 78-32","Centro Sor Isolina Ferré-Caimito","Carr. #842, Km. 1.9, Camino Los Romeros, Caimito Bajo","San Juan","00926","RR 6, Buzón 9541","San Juan","00926","(787) 842-0000","(787) 316-0163","mlopez@csifpr.org","wrivera@csifpr.org","(787) 272-3390",,"José Luis Diaz Cotto","0"
"V 78-34","International Technical College","Calle Loaiza Cordero # 104, Urb. El Vedado","San Juan","00918","Calle Loaiza Cordero # 104, Urb. El Vedado","San Juan","00918","(787) 767-8389","(787) 767-8389","liza@intecpr.com","registro@intecpr.com","(787) 765-9593","(787) 767-8389","Liza Hernández Cortiella, Presidenta","86"
"V 78-40","Neo-Esthetique European Institute","Urb. El Señorial, Ave. Winston Churchill 305 &307","San Juan","00926","El Señorial Mail Station # 310","San Juan","00926","(787) 748-0020","(787) 283-6529","anzalota@gmail.com",,"(787) 283-6529",,"Dr. Benigno Gonzalez Anzalota","136"
"V 78-47","Job Connection Center, Inc.","Edificio Betancourt, Calle Vallejo, Esquina  Arizmendi #1121","San Juan","00928","PO BOX 930-0213","San Juan","00928","(787) 767-9211","(787) 767-9210","lacevedo@jobconnectioncenter.com","foritz@jobconnectioncenter.com","(787) 767-4689","(787) 767-9211","César M. López Santos","50"
"V 78-48","Escuela Técnica de Electircidad, Inc.","Avenida Campo Rico #767, Urb. Country Club","San Juan","00924","PO BOX 29743, Estación 65 de Infantería","Rio Piedras","00924","(787) 750-1020","(787) 752-5500","www.eteriopi@prtc.net","eperez@etepr.edu","(787) 750-0990","(787) 750-1020","Edna Pérez García","95"
"V 78-52","One Stop Training Center, Inc.","#839, Local 5, Calle Añasco, Condominio Plaza Universidad 2000","San Juan","00925","#839, Local 5, Calle Añasco, Condominio Plaza Universidad 2000","Rio Piedras","00928","(787) 765-3235","(787) 296-1785","onestoppr@yahoo.com","onestop.sccarmen@gmail.com","(787) 767-5695",,"Lucy Torres",
"V 78-54","Instituto de Educación y Tecnología, Inc.","Ave. Pedro Albizus Campos Int. 744 Bo. Machete,","Guayama","00784","PO BOX 21024","San Juan","00928","(787) 707-8472","(787) 707-7963","lmuriente@ietpr.com","josegrana@aol.com","(787) 793-9876","(787) 707-8472","José M. Muriente","16"
"V 78-55","Arts and Crafts Technological Institute","Calle Segarra #330 Marginal Ave. Kennedy Urbanización Industrial Bechara","San Juan","00920","PO BOX 11594","San Juan","00922","(787) 793-6201","(787) 793-6202","jose@newportsales.com","gmarrero.nps@gmail.com","(787) 793-8630",,"José Alfonso Vélez Seijo","0"
"V 78-56","APFI Fitness Center Education","Avenida Ponce de Leon, 560 Hato Rey","San Juan","00918","PO BOX 260121","San Juan","00926","(787) 643-3493","(787) 643-3493","apfieducation@gmail.com",,"(787) 643-3493",,"Sandra L Espinosa Muñoz","20"
"V 79-01","Antilles School of Technical Careers","Calle Cayey #1911, Esquina William Jones","San Juan","00909","PO BOX 191536","San Juan","00919","(787) 268-2244","(787) 268-2247","lupe.milan@antillespr.edu","marianela.vazquez@antillespr.edu","(787) 268-1873",,"Marianela Vazquez, Directora Academica","340"
"V 79-03","Isla Grande Flying School & Service Corp.","Aeropuerto Isla Grande, Sector Miramar","San Juan","00907","Apartado 192343","San Juan","00919","(787) 722-1160","(787) 725-5760","igfsserv@prtc.net","nreyes.igfs@gmail.com","(787) 722-5611",,"Carlos E. Torres Reyes","51"
"V 79-11","Politécnico Amigó, Inc.","Calle Refugio # 960, Miramar","San Juan","00907","PO BOX 13204","San Juan","00908","(787) 725-2059","(787) 722-3436","peosoriocarmona@gmail.com","yaritzasimons@yahoo.com","(787) 722-3436","(787) 725-2059","Pablo Osorio Carmona","42"
"V 79-13","Century College, Inc.","Ave. Ponce de León #1316, Esquina Hipódromo","San Juan","00907","Urb Sabanera 497 Camino Cambalache","San Juan","00907","(787) 724-3017","(787) 724-3017","centurycollege@msn.com","centurycollege@msn.com","(787) 725-8633","(787) 646-3139","Anna Sanfilippo","178"
"V 79-16","José R. Faría Real Estate Institute","Galería Paseos Mall, 100 Ave. Gran Boulevard, Suite G-05","San Juan","00926","Galería Paseos Mall, 100 Gran Boulevard, Suite G-05","San Juan","00926","(787) 293-4999","(787) 293-4999","info@joserfaria.com","jrfrealestate@gmail.com","(787) 293-4999","(787) 293-4999","José R. Faría Collazo","59"
"V 79-20","Reality Institute of Real Estate (REIRE)","1253 Fernández Juncos","San Juan","00907","11138 Fernandez Juncos Station","San Juan","00910","(787) 745-8777","(787) 225-0404","torresr@realityrealtypr.com","reitorres@reitorres.com","(787) 745-3289",,"Iván Zavala Steidel","19"
"V 79-22","JLMA Learning Center, Corp.","Edif. Original COSVI Ave. Américo Miranda #400 4to Piso","San Juan","00927","600 Blvd. de la Montaña Apt. 460","San Juan","00926","(787) 272-0990","(787) 272-0990","info@learningcenterpr.com","info@examencpa.com","(787) 272-0515",,"Olga Patricia Londoño","67"
"V 79-24","Instituto Nacional de Negocios","Carr. PR 53 Int 90 Km 1.5 Barri Playa Sector Ciudad Educativa","Yabucoa","00767","PO BOX 270-426","San Juan","00928","(787) 214-7355","(787) 214-7355","jusino@jusino.com",,"(787) 266-3881",,"José P. Jusino Marrero","0"
"V 79-26","Escuela de Artes Místicas","1022 Ave. Ashford ,Esq. C., Barranquitas, Bo. Condado","San Juan","00907","1022 Ave. Ashford ,Suite 3, Condado","San Juan","00907","(787) 725-5888","(787) 461-6080","yakeen@artesmisticas.com","shanti@artesmisticas.com","(787) 725-5888","(787) 725-5888","Lydia Zoraida Barreto Ramos","28"
"V 79-32","North Eastern Technical Institute","Ave. de Diego #61 Suite 2-A","San Juan","00911","PO BOX 3415","Carolina","00984","(787) 523-6511","(787) 308-1902","mperez@northeastern-pr.com","migueleperez@aol.com","(787) 726-1975",") -","Miguel E. Pérez Díaz","0"
"V 79-33","Medfit (Medical Fitness and Entrepreneurs Institute)","Ave. Jesús T. Pinero 1646","San Juan","00920","Ave. Jesús T. Pinero 1646","San Juan","00921","(787) 771-3990","(939) 717-3023","medfitpr@gmail.com","cuerpodefinidopr@gmail.com","-0",,"Frank A. Cabrera Peña","5"
"V 79-35","Institute of Beauty Careers - Recinto de San Juan","904 Ave Ponce de León Miramar","Arecibo","00613","PO BOX 809","San Juan","00613","(787) 725-5566","(787) 725-5566","majosue@yahoo.com","registeribc@yahoo.com","(787) 725-5566",,"Roberto Montano","17"
"V 79-36","Advantage Technical College","Ave. Ponce de León #818 Miramar","San Juan","00901","PO BOX 16262","San Juan","00908","(787) 908-1000","(787) 908-1000","marisableramos@gmail.com","adtec.registro@gmail.com","(787) 908-1000",,"Marisabel Ramos","0"
"V 80-05","Dewey University","Ave. Barbosa # 425 y # 427","San Juan","00910","PO BOX 19538","San Juan","00910","(787) 753-0039","(787) 753-0039","director.htr@dewey.edu","miguel.rivera@dewey.edu","(787) 764-6303","(787) 764-6527","Miguel Ángel Rivera","0"
"V 80-12","Carlota Alfaro College, Inc.","1750 Calle Loíza","San Juan","00911","1750 Calle Loíza","San Juan","00911","(787) 728-0613","(787) 728-0613","carlotalfaro@gmail.com","carlotalfaro@gmail.com","(787) 728-0613","(787) 728-0613","Carlos Benitez Perez","242"
"V 80-14","Escuela de Diseño Lisa Thon","Ave. Muñoz Rivera #992, Suite 1","San Juan","00927","Ave. Muñoz Rivera #992, Suite 1","San Juan","00927","(787) 296-0777","(787) 296-1701","info@centromodalisathon.com","lisathonpr@gmail.com","(787) 296-1703",,"Jorge E. Franceschi Rodríguez","100"
"V 80-18","Centro de Adiestramiento de Distribución Eléctrica","Carr. 165, Km. 31.8, Bo. Palo Seco","Toa Baja","00949","PO BOX 364267, Correo General","San Juan","00936","(787) 521-3092","(787) 521-3097","bfontanez10307@aeepr.com","JPEREZ13445@aeepr.com","(787) 521-3098",,"Brian Fontánez Astor","0"
"V 80-18.1","Centro de Adiestramiento de Distribución Eléctrica (Centro de Extensión Educativa)","Carr. 149 km 5.9 Fuerte Allen","Juana Díaz","00795","PO BOX 364267","San Juan","00936","(787) 521-3091","(787) 521-3092","bfontanez10307@aeepr.com","JPEREZ13445@AEEPR.COM","(787) 521-3098",,"Brian Fontánez Astor","0"
"V 80-21","PROFESSIONAL JEWELRY & ARTS SCHOOL CORP.","302 CALLE SAN FRANCISCO PISO 1","San Juan","00901","302 CALLE SAN FRANCISCO PISO 1","San Juan","00901","(787) 342-7171","(787) 727-3495","jaspr@live.com","jaspr@live.com","(787) 727-3495","(787) 727-3495","Jesús Ocampo Rincón","23"
"V 80-24","Luis Nieves Institute of Real Estate Finance & Law","Calle Jose R. Carazo #74","Guaynabo","00969","PO BOX 190080","Guaynabo","00969","(787) 486-5858","(787) 615-5858","luisnievesinstitute@gmail.com","luisnievespr@gmail.com","(787) 283-6779",,"María Ramírez","97"
"V 80-26","High Alternative Education","Ave. Fernández Juncos #1851 Parada 26 calle Jordán","San Juan","00909","Ave. Fernández Juncos #1851","San Juan","00909","(787) 727-8877","(787) 727-8899","aahaeducation@gmail.com","b_alemany1@hotmail.com","(787) 727-8899",,"Betzaida Aimeé Alemañy Vélez","11"
"V 80-27","Caribbean Technical Institute, Inc.","Calle Boulevard Complejo Arrevica 3 ra Ext. Villa Carolina","Carolina","00984","PMB 190, PO BOX 6022","Carolina","00984","(787) 614-8238","(787) 614-8638","caribbeantechnicalinstitute@yahoo.com","secretservices1@yahoo.com","(863) 313-3017","(863) 313-3017","Francisco J. Millan Rodríguez","15"
