"corpname","corpregisterindex","bestatus","corpclasstype","corporationtype","corporationjurisdictiontype","physicalcitycorp","physicalstatecorp","fullnameagent","fullnameofficer1","fullnameofficer2"
"INSPIRA IT GLOBAL LLC","389424-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR","José Molina","Fanny Torres","Fernando Torres"
"CASA DE ORACION , NEHEMIAS 4:14 INC.","56925-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"PRIMERA IGLESIA BAUTISTA DE CORRAL VIEJO INCORPORADA","4462-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"IGLESIA CON VISION DE AGUILA INC.","328231-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Vega Alta","PR","José A Rivera","Lillian Vazquez","Lillian Vazquez"
"TECHOS Y MAS, INCORPORATED","301375-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","BAYAMON","PR","Waldo J Polanco","Sarah Rodriguez","Waldo J Polanco"
"EVOLUTION SOCCER ACADEMY, INC.","303324-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","CAGUAS","PR","Maricely Rodriguez","EFRAIN TORRES","EFRAIN TORRES"
"CASA AGRICOLA JC LLC","386319-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","TOA ALTA","PR","JUAN C FERNANDEZ","JUAN C FERNANDEZ","JUAN C FERNANDEZ"
"IGLESIA CUADRANGULAR DEL EVANGELIO COMPLETO AMAZING GRACE INC.","333207-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Manati","PR","Jose M. Valderra","Jose M Valderrama","Jose M Valderrama"
"GAN EDEN FARM, LLC","4078-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SANTA ISABEL","PR","Yoav Cohen",,
"MINISTERIO DABAR INC.","51753-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Coto Laurel","PR",,,
"MINISTERIO RESTAURANDO VIDAS HOY INC.","340578-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Rio Grande","PR","Francisco A Velazquez",,
"NEDEV CORP.","205350-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","MAYAGUEZ","PR","REFAT ABDELAZIZ","REFAT ABDELAZIZ","REFAT ABDELAZIZ"
"IGLESIA PENTECOSTAL UN NUEVO REBAO INC.","54479-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Arroyo","PR",,,
"MENTAL HEALTH INNOVATION GROUP LLC","386681-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","CAGUAS","PR",,,
"GENERAL CONSULTING GROUP WF INC.","183707-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","SAN JUAN","PR","WILLIAM FORTUÑO","WILLIAM FORTUNO","WILLIAM FORTUNO"
"METRO MEDICAL SERVICES INC.","346644-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","carolina","PR","janet cosme","javier ramirez","janet cosme"
"MINISTERIO: YO SOY EL QUE SOY. INC.","64444-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Bayamón","PR",,,
"LGGT, LLC","2936-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Hato Rey","PR",,,
"CAPITULO PONCE, P. R. CHAPTER #3726 OF AMERICAN ASSOCIATION OF RETIRED PERSONS, INC.","14912-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","PONCE","PR","WILLIAM BERMUDEZ","MARGARITA COLON","IVONNE WHEELER"
"IMAGE POLICE INC.","191304-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","MITCHEL RIVERA","MITCHEL RIVERA","MITCHEL RIVERA"
"LA IGLESIA BETHSAIDA NUMERO TRES INCORPORADA","22686-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"IGLESIA MISIONERA EL REBAO DEL SEOR, INC.","27464-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"MINISTERIO CAMINANDO EN LO SOBRENATURAL, INC.","305074-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","vega baja","PR","Christian Terron","Christian Terron",
"MASTERS BILINGUAL ACADEMY INC.","345099-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","barceloneta","PR","yarinell roman","orlando rebollar",
"TOWER DEVELOPMENT GROUP LLC","386016-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR",,"Jeffrey Carmichael",
"VALUE CONTRACTORS LLC","391531-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","GURABO","PR","Rolando Ramos Zayas","Rolando Ramos Zayas",
"RENOVATIO WM ENTERPRICES CORPORATION","207715-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Sabana Grande","PR",,,
"AGRUPACION FIEL PROMESA , INC.","304874-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Toa Alta","PR","Zaimed Mulero","Zaimed Mulero",
"ILE IRAWO CHURCH OF PUERTO RICO INC.","51808-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Guaynabo","PR",,,
"QUEST SOLUTIONS,  INC.","391062-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","MANATI","PR",,"Jacqueline Centeno","Jacqueline Centeno"
"URBANUS @ MUOZ RIVERA  LLC","386901-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR","ANGEL A FULLANA","JAIME FULLANA",
"CASA GENERACION ESCOGIDA INC.","347211-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Trujillo Alto","PR","Jimmy Pagan","Yesenia Garcia","Yesenia Garcia"
"IGLESIA CRISTIANA JESUCRISTO LA UNICA ESPERANZA INC.","42970-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"OGOYI GROUP LLC","411-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Bayamón","PR",,,
"BARBITE LLC","342665-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","San Juan","PR","Xavier Torres","Xavier Torres",
"IGLESIA SION, INC.","2348-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"CAPELLANIA INTERNACIONAL MISIONERA RESCATANDO AL CAIDO INC.","328655-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Las Piedras","PR","Felix M. Rodriguez","Felix M. Rodriguez",
"CLEAR BLUE INSURANCE SERVICES PUERTO RICO,  LLC","356787-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","GUAYNABO","PR","Jelka L. Duchesne","Jerome Breslin",
"MINISTERIO LIBRE PARA ADORARTE INC.","337136-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Mayaguez","PR","Guelisid Flores","Guelisid Flores",
"TALENT PARTNERS PAYROLL SERVICES, LLC","343631-1512","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Foránea","San Juan","PR",,,
"HOLY MOVES MINISTRY ""ARTS FOR CHRIST"", INC.","59017-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Trujillo Alto","PR",,,
"IGLESIA CRISTIANA CARISMATICA MENSAJEROS DE PAZ, INCORPORADO","17036-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"NATIONAL BASKETBALL CHRISTIAN LEAGUE OF PUERTO RICO, INC.","319483-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Santuce","PR","Lemuel Rivera",,
"NATIONAL ADVANCED DIAGNOSTIC IMAGING SUB-SPECIALISTS C.S.P.","5237-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","San Juan","PR","JORGE A VIDAL","Jorge A Vidal","Jorge A Vidal"
"MINISTERIO EL PODER DE LA PALABRA CORP.","44618-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Guaynabo","PR",,,
"CENTRO DE ESTUDIOS TEOLOGICOS Y CONSEJERIA DE FAMILIA, INC.","29016-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Toa Alta","PR",,,
"PARLIAMENT CAPITAL SERIES I, LLC","389032-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR",,,
"FUTURE PHARMACISTS ASSOCIATION INC.","348157-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Arecibo","PR","Angel E. González","Luis M. Taveras","Angel E. González"
"AMARANTE CORP.","341907-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Canovanas","PR","Francisco J Amarante","Francisco J Amarante",
"RINCN ENCANTADO LLC","387480-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","RINCON","PR","Carlos M Lamoutte","Wyatt Sharpley","Srinivas Katragadda"
"2102 COLISEUM, LLC","1459-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Carolina","PR",,,
"MINISTERIO EVANGELISTICO IMPACTANDO LAS VIDAS CON JESUS, INC.","302218-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Fajardo","PR","José L García","José L García",
"CESAMAR, INC.","44537-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San German","PR","Raul Nazario","Ana Irizarry","Raul Nazario"
"PRCC INVESTORS, LLC","310-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","San Juan","PR",,,
"BLUE MARLIN CORPORATION","71736-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","San Juan","PR","David Mark","David Mark","David Mark"
"FEDERACION PUERTORRIQUEA DE VOLEIBOL, INC.","4427-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","SAN JUAN","PR","miguel a. maltés","ELLIOT MATIAS","NELSON  PEREZ"
"DESPRECIADOS POR EL MUNDO RESCATADOS POR LA SANGRE DE CRISTO INC.","52298-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Juan","PR",,,
"TABERNACULO PENTECOSTAL JEHOVA NISSI 2, INC.","314742-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Bayamon","PR","Juan O Lopez","Ricardo Cruz","Rafael Ocasio"
"IGLESIA CRISTIANA EL CLAVARIO, INC.","3618-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"ACUEDUCTO RURAL DE COMUNIDADES ESPECIALES, INC.","58120-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Aguas Buenas","PR",,,
"CENTRO DE INSPECCION EMMANUEL AG-0077, INC.","199190-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","AGUADILLA","PR","HERIBERTO DIAZ","EMMANUEL DIAZ","HERIBERTO DIAZ"
"IGLESIA FE Y GRACIA PR, INC.","314290-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","BAYAMON","PR","JESUS MNIZ","JESUS MUÑIZ","KATIA VERA"
"PRODUCTOS DEL CAMPO INC.","346392-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Ponce","PR","Gerardo Cartagena","Nydia E. Vega","Gerardo Cartagena"
"POSH BEACH CLUB & SPA LLC","344387-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Loiza","PR","Nymia H Rodriguez","Nymia H Rodriguez","Nymia H Rodriguez"
"MINISTERIO BAJO LA COVERTURA DE JEHOVA DE LOS EJERCITOS, INC.","317453-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Juan","PR","Javier Gerena",,
"GLOBAL SALES GROUP, CORP.","183127-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","BAYAMON","PR","TULIO FIGUEROA","TULIO  FIGUEROA","TULIO  FIGUEROA"
"FONROCHE ENERGY AMERICA, INC.","203907-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","San Juan","PR","Hugo R Bobea","Robert Martinez","Hugo Bobea"
"CAPETILLO SERVICIO DE TAXI 24 HORAS, INC.","303768-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","SAN JUAN","PR",,"EDGARDO ENCARNACION","EDGARDO ENCARNACION"
"CBD BOTANIX LLC","386806-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","GUAYNABO","PR","Franco Biaggi","Franco Biaggi",
"CORPORACION MANTENEDOR SANTIAGO APOSTOL DE LAS MUJERES, INC.","25282-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Loiza","PR","Ana  S Fuentes","Ana  S Fuentes","Sylnic R Cruz"
"MINISTERIO INVADIENTO LAS CALLES CON CRISTO CORP.","54740-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Carolina","PR",,,
"MINISTERIO CRISTIANO MISIONERO, INC.","18369-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","SAN JUAN","PR","ANGEL MALDONDO",,
"GLOBAL ONE LLC","585-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Bayamón","PR",,,
"MOVIMIENTO APOSTOLICO ZABDIELITA INC.","390883-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","TOA ALTA","PR","Rafael A Hernandez","Rafael A Hernandez",
"KFE OUTLET INC.","391341-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","TRUJILLO ALTO","PR","Cruz A Negron","Cruz A Negron",
"CORPORACION PARA EL DESARROLLO INDUSTRIAL Y ECONOMICO DE GUAYAMA, C.D.","4-921","ACTIVA","Corporación Especial para el Desarrollo Municipal","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"IGLESIA JEHOVA LEVANTA AL CAIDO INC.","338157-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Juncos","PR","Jesus Flores",,
"PRIMERA IGLESIA DE SABANA SECA, INC.","20406-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"SEGUNDA IGLESIA ALIANZA CRISTIANA Y MISIONERA, INC.","9260-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"CENTRO MULTIDISCIPLINARIO DE MEDICINA PRIMARIA LLC","338561-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","JUNCOS","PR","YULMARY D VEGA","YULMARY D VEGA",
"J.R.V. REFRIGERATION & A/C SERVICES, INC.","158837-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","HUMACAO","PR","JAVIER R VAZQUEZ","JAVIER R VAZQUEZ","JAVIER R VAZQUEZ"
"AMERICAN CARIBBEAN AVIATION, INC.","166801-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Guaynabo","PR","Jose A Ralat","Jose  Ralat","Jose  Ralat"
"NASTYLE INC.","386208-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","CAYEY","PR","Joel Casiano","Joel Casiano","Joel Casiano"
"COOPERATIVA JUVENIL ESCOLAR CHIQUI HOSTOS COOP","255-1321","ACTIVA","Cooperativa Juvenil","Sin Fines de Lucro","Doméstica","Vega Baja","PR",,,
"ADONAI HEALTH GROUP LLC","391011-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","GUAYNABO","PR","Vincent Bonilla","Vincent Bonilla",
"RESTAURANT ITALYS GARDEN EAT AND DRINK CORP.","386957-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","CABO ROJO","PR","JAWAD SOTO","JAWAD SOTO","JAWAD SOTO"
"MINISTERIO SHALOM, INC.","18129-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","MAUNABO","PR","Julio T. VeleZ","Niurka Vélez","Elena Sánchez"
"INSIGHT VISION, INC.","79522-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Cidra","PR","Aida  Rivera","Aida Rivera","Aida Rivera"
"REMINGTON STEEL & SIGNAL, CORP.","302156-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","VEGA BAJA","PR","Jaime Forhat","LORENA SOLER","JAIME FORHAT"
"LA IGLESIA PORQUE DE DIOS ES EL PODER INCORPORADO","60977-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Naguabo","PR",,,
"ALL AROUND CONSULTANTS LLC","330938-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Caguas","PR","Ricardo L Rivera",,
"ENDODONCIA DEL NORESTE, PSC","317092-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","CAROLINA","PR","GABRIEL FUENTES","GABRIEL FUENTES","GABRIEL FUENTES"
"MONSERRATE  INC.","390399-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","ENSENADA","PR","louis g meyer","OLGA N CRUZ","LOUIS G MEYER"
"LABORATORIO CLINICO LOMAR, INC.","82657-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","CIALES","PR","EVELYN LARACUENTE","CLARIBEL GONZALEZ","CLARIBEL GONZALEZ"
"MIRAMAR EQUESTRIAN SCHOOL LLC","1963-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","San Juan","PR",,,
"MILLENNIUM MAIL STATION, INC.","108273-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Caguas","PR","Pedro A Figueroa","Nancy K Arroyo","Pedro A Figueroa"
"DCN ADMINISTRATIVE & RECYCLING  CORP.","386313-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","GURABO","PR","Andrea M Cordero",,
"LEGENDARIOS BIKERS GROUP INC.","347110-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","yabucoa","PR","Elton Rivera","Carlos Colon","Angel Vazquez"
"MINISTERIO AGUA EN EL DESIERTO, INC.","317065-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Guayama","PR","Johannys Vázquez","Johannys Vázquez",
"CBV MANAGEMENT INC.","378394-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","MANATI","PR","Carmen V Bonet","Jimmy Baez","Maria de los A Oquendo"
"TRI-WARRIORS CAROLINA TRIATHLON TEAM, INC.","308632-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Carolina","PR","Tomas Perez","Jennifer Rodriguez","Edwin Zaragoza"
"CENTRO DE ESTUDIOS TEOLGICOS KAIROS, INC.","313535-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Toa Baja","PR","Migda E Luciano","Angel I Serrano","Olga E Mercado"
"HIDDEN TECHNOLOGIES INC.","386133-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR",,,
"MINISTERIO DANDO PAN AL MENESTEROSO, INC.","308665-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Humacao","PR","Rosana Rivera","Rosana M Rivera",
"GASTRONOMIC DESIGNERS  LLC","333901-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Culebra","PR","Geovannie Romero","Lorel Torres","Lorel Torres"
"IGLESIA PENTECOSTAL ALPHA Y OMEGA CAMINO DE LUZ INC. DE CARRIZALES, HATILLO, P.R.","15012-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"FOULKON RESEARCH LLC","334364-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","San Juan","PR","Jorge R. Marquina",,
"DR. JAVIER O. PEREZ P.S.C.","390454-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","DORADO","PR","JAVIER O PEREZ","JAVIER O PEREZ","JAVIER O PEREZ"
"METRIC ENGINEERING, INC.","15419-112","ACTIVA","Corporación","Con Fines de Lucro","Foránea","Hato Rey","PR","Ramón Coto","Dale W. Cody","Victor M. Benitez"
"PLENITUD DE DIOS INC.","49115-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Cabo Rojo","PR",,,
"MINISTERIO DE EDUCACION INTERNACIONAL CORP.","56570-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Dorado","PR",,,
"IGLESIA DE DIOS, SANTIFICADOS EN CRISTO JESUS , INC.","304372-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","PEÑUELAS","PR","ROMUALDO MONTALVO","NACY RODRIGUEZ","ROMUALDO MONTALVO"
"ANR CLINICAL LAB. CORP.","195379-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","ABIGAIL NEIRA","ABIGAIL NEIRA","ABIGAIL NEIRA"
"IMAGENES RADIOLOGICAS DEL CARIBE, C.S.P.","761-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","Guaynabo","PR","Fernando M. Zalduondo","Magda Feliciano","Fernando Zalduondo"
"CARDINAL HEALTH P.R. 220, LLC","390023-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","GUAYNABO","PR",,,
"ARMADA STUDIOS LLC","345127-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Rincon","PR","Jacqueline Crespo","John Thomas Sweeney",
"IGLESIA BIBLICA BAUTISTA, INC.","14853-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"CULEBRA WATER,  INC.","386751-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","SAN JUAN","PR","Francisco Rodríguez",,
"HOUSE OF FREEDOM, INC.","36887-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","SAN JUAN","PR","OLGA  L MORALES","IRMA VAZQUEZ","YANIRA C DIAZ"
"IGLESIA CRISTIANA YAHWEH TSIDKENU CORP.","329272-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Toa Alta","PR",,"Yolanda Laracuente",
"MINISTERIO EVANGELISTICO APRESURANDO EL LLAMADO, INC.","51338-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Aguadilla","PR",,,
"IGLESIA EVANGELISTICA LUTERANA SAN PEDRO INC.","36072-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"IRW CONCIERGE SERVICES, L.L.C.","390739-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR","Ivonne M Rodríguez","Ivonne M Rodríguez",
"KOI AMERICAS LLC","389378-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","GUAYNABO","PR",,"José E Ramírez",
"WORLD WIDE LINK INCORPORATED","340582-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","JUNCOS","PR","ELIZABETH GOMEZ","RAÚL A.  ORTIZ","ELIZABETH  GOMEZ"
"OCEANIC A/C AND HOME APPLIANCES INC.","386797-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","ARECIBO","PR","Murad Ersan",,
"PUERTO RICO EMERGENCY MANEGEMENT SERVICE , CORP.","314799-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Rio Grande","PR",,"Gustavo Aponte",
"FUNDACION DESARROLLO NUEVO PENSAMIENTO, INC.","17941-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","SAN JUAN","PR","JOSE R CARRION","JOSE R CARRION","MARIÀ I"
"MINISTERIO EVANGELICO PENTECOSTAL UNCION CON FUEGO DE DIOS INC.","63381-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Cataño","PR",,,
"SDFM LLC","386316-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR",,"JAVIER OYOLA","ENRIQUE OYOLA"
"ASOCIACIN EVANGELSTICA WILLY JUSTINIANO, INC.","305598-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Hormigueros","PR","Wilson Justiniano",,
"LA CONGREGACION DE LOS TESTIGOS DE JEHOVA DE VEGA ALTA INC.","6175-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Vega Alta","PR","Jesus Canales","William Morales","Angel Martinez"
"LA RECETA RX CORPORATION","391002-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","RIO GRANDE","PR","carmen m carmona","jose a garcia","gabriel e rodriguez"
"GULF HARBOR SHIPPING, L.L.C.","562-1532","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Foránea","Guaynabo","PR",,,
"IGLESIA PENTECOSTAL VEN A EL INC.","36055-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"RONT CORP.","346421-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Bayamon","PR","Jose Graxirena","Jose Graxirena",
"NATIONS ROOF SOUTH LLC","340133-1512","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Foránea","SAN JUAN","PR",,"SUE KIMBLE","RICK LANGHEIM"
"ASOCIACION PUERTORRIQUEA DE MEDICOS ALERGISTA, INC.","41635-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","SAN JUAN","PR","Luis  Torres","Anardi  M Agosto","Rafael H Zaragoza"
"MINISTERIO UNGIDOS PARA VENCER INC.","389495-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","MAUNABO","PR",,,
"FARMACIA KIARA CRL","317-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Juana Díaz","PR","RODNY NAVARRO",,
"RD MEDIA PUERTO RICO, INC.","180940-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Santurce","PR","Jose R Cintron","Jose R Cintron","Stephen Smith"
"COOPERATIVA DE AHORRO Y CREDITO DEL DEPARTAMENTO DE SERVICIOS SOCIALES","522-221","ACTIVA","Cooperativa de Ahorro Y Crédito","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"IGLESIA PENTECOSTAL LOS DOCE APOSTOLES, INC.","19689-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"CONGREGACION CAMINO DE SION, INC.","29467-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"LA IGLESIA DE DIOS PARA LA SANIDAD INC.","16862-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"V. I. P. GENERAL MAINTENANCE SERVICES  CORP.","386663-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","FERNANDO SILVA","FERNANDO SILVA","FERNANDO SILVA"
"MPS PR  LLC","390943-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","CAGUAS","PR","Guillermo J Negron",,
"SOCIEDAD DE ORQUIDISTAS DEL CARIBE, INC.","63311-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Guayama","PR","JULIO GOMEZ","Julio Gomez","Edna L Pomales"
"MINISTERIO UNIDOS EN LA ALABANZA INC.","336092-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Aguada","PR","José L. Ruiz","Mariam Ludim Rosa",
